,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Tim Duncan,25,SAS,57.0,954.0,1260,0.757,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257,0.6280788177339901,0.31280788177339897,0.09113300492610837,0.017241379310344827,0.06157635467980296,1.110837438423645,2002
1,2,Jason Kidd,28,NJN,45.0,897.0,1260,0.712,82,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,8.9,0.14,0.3941018766756032,0.1957104557640751,0.26541554959785524,0.056300268096514755,0.005361930294906167,0.9168900804289544,2002
2,3,Shaquille O'Neal,29,LAL,15.0,696.0,1260,0.552,67,36.1,27.2,10.7,3.0,0.6,2.0,0.579,0.0,0.555,13.2,0.262,0.7534626038781163,0.29639889196675895,0.08310249307479224,0.016620498614958446,0.055401662049861494,1.2049861495844876,2002
3,4,Tracy McGrady,22,ORL,7.0,390.0,1260,0.31,76,38.3,25.6,7.9,5.3,1.6,1.0,0.451,0.364,0.748,11.5,0.189,0.668407310704961,0.20626631853785904,0.13838120104438642,0.04177545691906006,0.026109660574412535,1.080939947780679,2002
4,5,Kobe Bryant,23,LAL,1.0,98.0,1260,0.078,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199,0.6579634464751959,0.14360313315926895,0.14360313315926895,0.0391644908616188,0.010443864229765015,0.9947780678851177,2002
5,6,Gary Payton,33,SEA,1.0,54.0,1260,0.043,82,40.3,22.1,4.8,9.0,1.6,0.3,0.467,0.314,0.797,12.6,0.183,0.5483870967741936,0.11910669975186104,0.22332506203473948,0.039702233250620354,0.007444168734491315,0.9379652605459058,2002
6,7,Chris Webber,28,SAC,0.0,37.0,1260,0.029,54,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,8.6,0.2,0.6380208333333334,0.2630208333333333,0.125,0.044270833333333336,0.036458333333333336,1.1067708333333333,2002
7,8,Dirk Nowitzki,23,DAL,0.0,31.0,1260,0.025,76,38.0,23.4,9.9,2.4,1.1,1.0,0.477,0.397,0.853,13.4,0.222,0.6157894736842104,0.2605263157894737,0.06315789473684211,0.028947368421052635,0.02631578947368421,0.994736842105263,2002
8,9,Allen Iverson,26,PHI,0.0,29.0,1260,0.023,60,43.7,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,6.9,0.126,0.7185354691075514,0.10297482837528603,0.12585812356979403,0.06407322654462241,0.004576659038901602,1.0160183066361554,2002
9,10,Ben Wallace,27,DET,0.0,24.0,1260,0.019,80,36.5,7.6,13.0,1.4,1.7,3.5,0.531,0.0,0.423,11.6,0.19,0.20821917808219176,0.3561643835616438,0.03835616438356164,0.04657534246575342,0.0958904109589041,0.7452054794520546,2002
10,11,Paul Pierce,24,BOS,0.0,22.0,1260,0.017,82,40.3,26.1,6.9,3.2,1.9,1.0,0.442,0.404,0.809,12.9,0.187,0.6476426799007445,0.17121588089330028,0.07940446650124071,0.04714640198511166,0.02481389578163772,0.9702233250620349,2002
11,12,Kevin Garnett,25,MIN,0.0,17.0,1260,0.013,81,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.801,12.8,0.194,0.5408163265306122,0.3086734693877551,0.1326530612244898,0.03061224489795918,0.04081632653061224,1.0535714285714286,2002
12,13,Michael Jordan,38,WAS,0.0,16.0,1260,0.013,60,34.9,22.9,5.7,5.2,1.4,0.4,0.416,0.189,0.79,3.3,0.075,0.6561604584527221,0.16332378223495703,0.1489971346704871,0.040114613180515755,0.011461318051575933,1.0200573065902578,2002
13,14,Steve Nash,27,DAL,0.0,5.0,1260,0.004,82,34.6,17.9,3.1,7.7,0.6,0.0,0.483,0.455,0.887,9.9,0.167,0.5173410404624277,0.08959537572254335,0.22254335260115607,0.017341040462427744,0.0,0.846820809248555,2002
14,15,Jerry Stackhouse,27,DET,0.0,3.0,1260,0.002,76,35.3,21.4,4.1,5.3,1.0,0.5,0.397,0.287,0.858,5.8,0.104,0.6062322946175638,0.11614730878186968,0.1501416430594901,0.028328611898017,0.0141643059490085,0.9150141643059491,2002
15,16,Mike Bibby,23,SAC,0.0,1.0,1260,0.001,80,33.2,13.7,2.8,5.0,1.1,0.2,0.453,0.37,0.803,6.3,0.113,0.4126506024096385,0.08433734939759036,0.1506024096385542,0.03313253012048193,0.006024096385542168,0.6867469879518071,2002
16,16,Elton Brand,22,LAC,0.0,1.0,1260,0.001,80,37.8,18.2,11.6,2.4,1.0,2.0,0.527,0.0,0.742,13.6,0.216,0.4814814814814815,0.3068783068783069,0.06349206349206349,0.026455026455026457,0.052910052910052914,0.9312169312169313,2002
17,16,Peja Stojaković,24,SAC,0.0,1.0,1260,0.001,71,37.3,21.2,5.3,2.5,1.1,0.2,0.484,0.416,0.876,9.9,0.179,0.5683646112600537,0.14209115281501342,0.06702412868632708,0.02949061662198392,0.005361930294906167,0.8123324396782843,2002
