Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
1,LeBron James,25,CLE,116.0,1205.0,1230,0.98,76,39.0,29.7,7.3,8.6,1.6,1.0,0.503,0.333,0.767,18.5,0.299,0.7615384615384615,0.18717948717948718,0.2205128205128205,0.041025641025641026,0.02564102564102564,1.2358974358974357,2010
2,Kevin Durant,21,OKC,4.0,609.0,1230,0.495,82,39.5,30.1,7.6,2.8,1.4,1.0,0.476,0.365,0.9,16.1,0.238,0.7620253164556963,0.19240506329113924,0.07088607594936708,0.03544303797468354,0.02531645569620253,1.0860759493670886,2010
3,Kobe Bryant,31,LAL,0.0,599.0,1230,0.487,73,38.8,27.0,5.4,5.0,1.5,0.3,0.456,0.329,0.811,9.4,0.16,0.6958762886597939,0.1391752577319588,0.1288659793814433,0.03865979381443299,0.007731958762886598,1.0103092783505156,2010
4,Dwight Howard,24,ORL,3.0,478.0,1230,0.389,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0.0,0.592,13.2,0.223,0.5273775216138328,0.38040345821325644,0.05187319884726224,0.02593659942363112,0.08069164265129682,1.0662824207492796,2010
5,Dwyane Wade,28,MIA,0.0,119.0,1230,0.097,77,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13.0,0.224,0.7327823691460056,0.1322314049586777,0.1790633608815427,0.04958677685950414,0.030303030303030307,1.1239669421487604,2010
6,Carmelo Anthony,25,DEN,0.0,65.0,1230,0.053,69,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145,0.7382198952879581,0.17277486910994763,0.08376963350785341,0.034031413612565446,0.010471204188481676,1.039267015706806,2010
7,Dirk Nowitzki,31,DAL,0.0,55.0,1230,0.045,81,37.5,25.0,7.7,2.7,0.9,1.0,0.481,0.421,0.915,12.3,0.194,0.6666666666666666,0.20533333333333334,0.07200000000000001,0.024,0.02666666666666667,0.9946666666666666,2010
8,Steve Nash,35,PHO,0.0,49.0,1230,0.04,81,32.8,16.5,3.3,11.0,0.5,0.1,0.507,0.426,0.938,9.9,0.178,0.5030487804878049,0.10060975609756098,0.3353658536585366,0.015243902439024392,0.0030487804878048786,0.9573170731707317,2010
9,Deron Williams,25,UTA,0.0,7.0,1230,0.006,76,36.9,18.7,4.0,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177,0.5067750677506775,0.10840108401084012,0.2845528455284553,0.03523035230352304,0.005420054200542006,0.940379403794038,2010
10,Amar'e Stoudemire,27,PHO,0.0,5.0,1230,0.004,82,34.6,23.1,8.9,1.0,0.6,1.0,0.557,0.167,0.771,10.7,0.181,0.6676300578034682,0.25722543352601157,0.028901734104046242,0.017341040462427744,0.028901734104046242,1.0,2010
11,Manu Ginóbili,32,SAS,0.0,3.0,1230,0.002,75,28.7,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,9.7,0.216,0.5749128919860628,0.13240418118466898,0.17073170731707318,0.048780487804878044,0.010452961672473867,0.937282229965157,2010
12,Chauncey Billups,33,DEN,0.0,1.0,1230,0.001,73,34.1,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,9.5,0.182,0.5718475073313782,0.09090909090909091,0.16422287390029325,0.03225806451612903,0.002932551319648094,0.8621700879765395,2010
12,Chris Bosh,25,TOR,0.0,1.0,1230,0.001,70,36.1,24.0,10.8,2.4,0.6,1.0,0.518,0.364,0.797,9.6,0.182,0.6648199445983379,0.2991689750692521,0.06648199445983378,0.016620498614958446,0.027700831024930747,1.074792243767313,2010
12,Stephen Jackson,31,TOT,0.0,1.0,1230,0.001,81,38.6,20.6,5.0,3.7,1.6,0.5,0.423,0.328,0.779,5.0,0.077,0.533678756476684,0.12953367875647667,0.09585492227979275,0.04145077720207254,0.012953367875647668,0.8134715025906737,2010
12,Joe Johnson,28,ATL,0.0,1.0,1230,0.001,76,38.0,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,8.4,0.14,0.5605263157894737,0.12105263157894736,0.12894736842105264,0.028947368421052635,0.002631578947368421,0.8421052631578948,2010
