Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
1,Tim Duncan,26,SAS,60.0,962.0,1190,0.808,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248,0.5928753180661578,0.32824427480916035,0.09923664122137404,0.017811704834605598,0.07379134860050891,1.1119592875318067,2003
2,Kevin Garnett,26,MIN,43.0,871.0,1190,0.732,82,40.5,23.0,13.4,6.0,1.4,1.6,0.502,0.282,0.751,15.6,0.225,0.5679012345679012,0.3308641975308642,0.14814814814814814,0.0345679012345679,0.03950617283950617,1.1209876543209876,2003
3,Kobe Bryant,24,LAL,8.0,496.0,1190,0.417,82,41.5,30.0,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21,0.7228915662650602,0.16626506024096385,0.14216867469879518,0.05301204819277109,0.01927710843373494,1.1036144578313254,2003
4,Tracy McGrady,23,ORL,4.0,427.0,1190,0.359,75,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262,0.8147208121827412,0.1649746192893401,0.13959390862944163,0.04314720812182741,0.020304568527918784,1.1827411167512691,2003
5,Shaquille O'Neal,30,LAL,3.0,126.0,1190,0.106,67,37.8,27.5,11.1,3.1,0.6,2.4,0.574,0.0,0.622,13.2,0.25,0.7275132275132276,0.29365079365079366,0.08201058201058202,0.015873015873015872,0.06349206349206349,1.1825396825396826,2003
6,Allen Iverson,27,PHI,0.0,83.0,1190,0.07,82,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127,0.6494117647058824,0.09882352941176471,0.12941176470588237,0.06352941176470589,0.004705882352941177,0.9458823529411765,2003
7,Dirk Nowitzki,24,DAL,0.0,43.0,1190,0.036,80,39.0,25.1,9.9,3.0,1.4,1.0,0.463,0.379,0.881,16.1,0.249,0.6435897435897436,0.25384615384615383,0.07692307692307693,0.035897435897435895,0.02564102564102564,1.035897435897436,2003
8,Ben Wallace,28,DET,1.0,33.0,1190,0.028,73,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176,0.17512690355329952,0.39086294416243655,0.04060913705583757,0.03553299492385787,0.08121827411167513,0.7233502538071067,2003
9,Jason Kidd,29,NJN,0.0,31.0,1190,0.026,80,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182,0.5,0.16844919786096257,0.23796791443850268,0.05882352941176471,0.008021390374331552,0.9732620320855616,2003
10,Chris Webber,29,SAC,0.0,19.0,1190,0.016,67,39.1,23.0,10.5,5.4,1.6,1.3,0.461,0.238,0.607,6.9,0.127,0.5882352941176471,0.26854219948849106,0.1381074168797954,0.04092071611253197,0.03324808184143223,1.0690537084398977,2003
11,Jamal Mashburn,30,NOH,0.0,1.0,1190,0.001,82,40.5,21.6,6.1,5.6,1.0,0.2,0.422,0.389,0.848,9.0,0.13,0.5333333333333333,0.15061728395061727,0.1382716049382716,0.024691358024691357,0.0049382716049382715,0.8518518518518519,2003
11,Steve Nash,28,DAL,0.0,1.0,1190,0.001,82,33.1,17.7,2.9,7.3,1.0,0.1,0.465,0.413,0.909,11.6,0.206,0.5347432024169184,0.08761329305135951,0.22054380664652568,0.030211480362537763,0.0030211480362537764,0.8761329305135951,2003
11,Paul Pierce,25,BOS,0.0,1.0,1190,0.001,79,39.2,25.9,7.3,4.4,1.8,0.8,0.416,0.302,0.802,10.1,0.157,0.6607142857142856,0.18622448979591835,0.11224489795918367,0.04591836734693877,0.02040816326530612,1.0255102040816324,2003
