,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Giannis Antetokounmpo,25,MIL,85.0,962.0,1010,0.952,63,30.4,29.5,13.6,5.6,1.0,1.0,0.553,0.304,0.633,11.1,0.279,0.9703947368421053,0.4473684210526316,0.18421052631578946,0.03289473684210526,0.03289473684210526,1.667763157894737,2020
1,2,LeBron James,35,LAL,16.0,753.0,1010,0.746,67,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204,0.7312138728323699,0.2254335260115607,0.29479768786127164,0.03468208092485549,0.014450867052023121,1.300578034682081,2020
2,3,James Harden,30,HOU,0.0,367.0,1010,0.363,68,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254,0.9397260273972602,0.18082191780821916,0.2054794520547945,0.049315068493150684,0.024657534246575342,1.4,2020
3,4,Luka Dončić,20,DAL,0.0,200.0,1010,0.198,61,33.6,28.8,9.4,8.8,1.0,0.2,0.463,0.316,0.758,8.8,0.207,0.8571428571428571,0.27976190476190477,0.2619047619047619,0.02976190476190476,0.005952380952380952,1.4345238095238093,2020
4,5,Kawhi Leonard,28,LAC,0.0,168.0,1010,0.166,57,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226,0.8364197530864198,0.2191358024691358,0.15123456790123457,0.05555555555555556,0.018518518518518517,1.2808641975308643,2020
5,6,Anthony Davis,26,LAL,0.0,82.0,1010,0.081,62,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25,0.7587209302325583,0.27034883720930236,0.0930232558139535,0.0436046511627907,0.06686046511627906,1.2325581395348837,2020
6,7,Chris Paul,34,OKC,0.0,26.0,1010,0.026,70,31.5,17.6,5.0,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193,0.5587301587301587,0.15873015873015872,0.2126984126984127,0.050793650793650794,0.006349206349206349,0.9873015873015873,2020
7,8,Damian Lillard,29,POR,0.0,23.0,1010,0.023,66,37.5,30.0,4.3,8.0,1.1,0.3,0.463,0.401,0.888,11.6,0.225,0.8,0.11466666666666667,0.21333333333333335,0.029333333333333336,0.008,1.1653333333333336,2020
8,9,Nikola Jokić,24,DEN,0.0,18.0,1010,0.018,73,32.0,19.9,9.7,7.0,1.2,0.6,0.528,0.314,0.817,9.8,0.202,0.621875,0.303125,0.21875,0.0375,0.01875,1.2,2020
9,10,Pascal Siakam,25,TOR,0.0,17.0,1010,0.017,60,35.2,22.9,7.3,3.5,1.0,0.9,0.453,0.359,0.792,5.4,0.123,0.6505681818181818,0.20738636363636362,0.09943181818181818,0.028409090909090908,0.025568181818181816,1.0113636363636362,2020
10,11,Jimmy Butler,30,MIA,0.0,9.0,1010,0.009,58,33.8,19.9,6.7,6.0,1.8,0.6,0.455,0.244,0.834,9.0,0.221,0.5887573964497042,0.19822485207100593,0.1775147928994083,0.053254437869822494,0.01775147928994083,1.0355029585798818,2020
11,12,Jayson Tatum,21,BOS,0.0,1.0,1010,0.001,66,34.3,23.4,7.0,3.0,1.4,0.9,0.45,0.403,0.812,6.9,0.146,0.6822157434402333,0.20408163265306123,0.08746355685131196,0.04081632653061225,0.02623906705539359,1.0408163265306123,2020
