Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
1,Nikola Jokić,25,DEN,91.0,971.0,1010,0.961,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301,0.7630057803468208,0.31213872832369943,0.23988439306358383,0.03757225433526012,0.020231213872832367,1.3728323699421967,2021
2,Joel Embiid,26,PHI,1.0,586.0,1010,0.58,51,31.1,28.5,10.6,2.8,1.0,1.4,0.513,0.377,0.859,8.8,0.266,0.9163987138263665,0.3408360128617363,0.090032154340836,0.03215434083601286,0.045016077170418,1.4244372990353695,2021
3,Stephen Curry,32,GSW,5.0,453.0,1010,0.449,63,34.2,32.0,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9.0,0.201,0.935672514619883,0.1608187134502924,0.1695906432748538,0.03508771929824561,0.0029239766081871343,1.3040935672514617,2021
4,Giannis Antetokounmpo,26,MIL,1.0,348.0,1010,0.345,61,33.0,28.1,11.0,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244,0.8515151515151516,0.3333333333333333,0.1787878787878788,0.03636363636363636,0.03636363636363636,1.4363636363636363,2021
5,Chris Paul,35,PHO,2.0,139.0,1010,0.138,70,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201,0.5222929936305732,0.14331210191082802,0.2834394904458599,0.044585987261146494,0.009554140127388535,1.0031847133757963,2021
6,Luka Dončić,21,DAL,0.0,42.0,1010,0.042,66,34.3,27.7,8.0,8.6,1.0,0.5,0.479,0.35,0.73,7.7,0.163,0.8075801749271138,0.23323615160349856,0.25072886297376096,0.02915451895043732,0.01457725947521866,1.3352769679300294,2021
7,Damian Lillard,30,POR,0.0,38.0,1010,0.038,67,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,10.4,0.209,0.8044692737430168,0.11731843575418996,0.20949720670391064,0.025139664804469275,0.008379888268156424,1.1648044692737431,2021
8,Julius Randle,26,NYK,0.0,20.0,1010,0.02,71,37.6,24.1,10.2,6.0,0.9,0.3,0.456,0.411,0.811,7.8,0.14,0.6409574468085106,0.2712765957446808,0.15957446808510636,0.023936170212765957,0.007978723404255319,1.1037234042553192,2021
9,Derrick Rose,32,TOT,1.0,10.0,1010,0.01,50,25.6,14.7,2.6,4.2,1.0,0.4,0.47,0.388,0.866,3.1,0.118,0.5742187499999999,0.1015625,0.1640625,0.0390625,0.015625,0.8945312499999999,2021
10,Rudy Gobert,28,UTA,0.0,8.0,1010,0.008,71,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0.0,0.623,11.3,0.248,0.4642857142857143,0.4383116883116883,0.04220779220779221,0.01948051948051948,0.08766233766233766,1.051948051948052,2021
11,Russell Westbrook,32,WAS,0.0,5.0,1010,0.005,65,36.4,22.2,11.5,11.7,1.4,0.4,0.439,0.315,0.656,3.7,0.075,0.6098901098901099,0.3159340659340659,0.3214285714285714,0.038461538461538464,0.01098901098901099,1.2967032967032968,2021
12,Ben Simmons,24,PHI,0.0,3.0,1010,0.003,58,32.4,14.3,7.2,6.9,1.6,0.6,0.557,0.3,0.613,6.0,0.153,0.44135802469135804,0.22222222222222224,0.212962962962963,0.04938271604938272,0.018518518518518517,0.9444444444444445,2021
13,James Harden,31,TOT,0.0,1.0,1010,0.001,44,36.6,24.6,7.9,10.8,1.2,0.8,0.466,0.362,0.861,7.0,0.208,0.6721311475409836,0.21584699453551912,0.29508196721311475,0.032786885245901634,0.02185792349726776,1.237704918032787,2021
13,LeBron James,36,LAL,0.0,1.0,1010,0.001,45,33.4,25.0,7.7,7.8,1.1,0.6,0.513,0.365,0.698,5.6,0.179,0.7485029940119761,0.23053892215568864,0.23353293413173654,0.03293413173652695,0.017964071856287425,1.2634730538922156,2021
13,Kawhi Leonard,29,LAC,0.0,1.0,1010,0.001,52,34.1,24.8,6.5,5.2,1.6,0.4,0.512,0.398,0.885,8.8,0.238,0.7272727272727273,0.1906158357771261,0.15249266862170088,0.0469208211143695,0.011730205278592375,1.1290322580645162,2021
