,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Stephen Curry,26,GSW,100.0,1198.0,1300,0.922,80,32.7,23.8,4.3,7.7,2.0,0.2,0.487,0.443,0.914,15.7,0.288,0.72782874617737,0.1314984709480122,0.23547400611620795,0.061162079510703356,0.0061162079510703364,1.162079510703364,2015
1,2,James Harden,25,HOU,25.0,936.0,1300,0.72,81,36.8,27.4,5.7,7.0,1.9,0.7,0.44,0.375,0.868,16.4,0.265,0.7445652173913043,0.1548913043478261,0.19021739130434784,0.051630434782608696,0.019021739130434784,1.1603260869565217,2015
2,3,LeBron James,30,CLE,5.0,552.0,1300,0.425,69,36.1,25.3,6.0,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199,0.7008310249307479,0.16620498614958448,0.20498614958448755,0.0443213296398892,0.019390581717451522,1.1357340720221607,2015
3,4,Russell Westbrook,26,OKC,0.0,352.0,1300,0.271,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222,0.8168604651162792,0.2122093023255814,0.25,0.06104651162790698,0.005813953488372094,1.3459302325581397,2015
4,5,Anthony Davis,21,NOP,0.0,203.0,1300,0.156,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14.0,0.274,0.6759002770083102,0.2825484764542936,0.060941828254847646,0.04155124653739612,0.08033240997229917,1.1412742382271468,2015
5,6,Chris Paul,29,LAC,0.0,124.0,1300,0.095,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27,0.5488505747126438,0.13218390804597702,0.2931034482758621,0.05459770114942529,0.00574712643678161,1.0344827586206897,2015
6,7,LaMarcus Aldridge,29,POR,0.0,6.0,1300,0.005,71,35.4,23.4,10.2,1.7,0.7,1.0,0.466,0.352,0.845,8.6,0.165,0.6610169491525424,0.288135593220339,0.0480225988700565,0.019774011299435026,0.02824858757062147,1.0451977401129946,2015
7,8,Marc Gasol,30,MEM,0.0,3.0,1300,0.002,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182,0.5240963855421686,0.23493975903614456,0.11445783132530118,0.027108433734939756,0.048192771084337345,0.9487951807228915,2015
8,8,Blake Griffin,25,LAC,0.0,3.0,1300,0.002,67,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9.0,0.183,0.6221590909090908,0.21590909090909088,0.1505681818181818,0.025568181818181816,0.014204545454545454,1.0284090909090906,2015
9,10,Tim Duncan,38,SAS,0.0,1.0,1300,0.001,77,28.9,13.9,9.1,3.0,0.8,2.0,0.512,0.286,0.74,9.6,0.207,0.48096885813148793,0.314878892733564,0.10380622837370243,0.027681660899653984,0.06920415224913495,0.9965397923875432,2015
10,10,Kawhi Leonard,23,SAS,0.0,1.0,1300,0.001,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204,0.5188679245283019,0.22641509433962265,0.07861635220125786,0.07232704402515723,0.025157232704402517,0.921383647798742,2015
11,10,Klay Thompson,24,GSW,0.0,1.0,1300,0.001,77,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172,0.6802507836990596,0.10031347962382446,0.09090909090909091,0.03448275862068966,0.025078369905956115,0.9310344827586207,2015
