,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Stephen Curry,27,GSW,131.0,1310.0,1310,1.0,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318,0.8801169590643274,0.15789473684210525,0.195906432748538,0.06140350877192982,0.005847953216374269,1.3011695906432748,2016
1,2,Kawhi Leonard,24,SAS,0.0,634.0,1310,0.484,72,33.1,21.2,6.8,2.6,1.8,1.0,0.506,0.443,0.874,13.7,0.277,0.6404833836858006,0.20543806646525678,0.07854984894259819,0.054380664652567974,0.030211480362537763,1.0090634441087614,2016
2,3,LeBron James,31,CLE,0.0,631.0,1310,0.482,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242,0.7106741573033708,0.20786516853932585,0.19101123595505617,0.03932584269662921,0.016853932584269662,1.1657303370786516,2016
3,4,Russell Westbrook,27,OKC,0.0,486.0,1310,0.371,80,34.4,23.5,7.8,10.4,2.0,0.3,0.454,0.296,0.812,14.0,0.245,0.6831395348837209,0.22674418604651164,0.3023255813953489,0.05813953488372093,0.00872093023255814,1.2790697674418607,2016
4,5,Kevin Durant,27,OKC,0.0,147.0,1310,0.112,72,35.8,28.2,8.2,5.0,1.0,1.2,0.505,0.387,0.898,14.5,0.27,0.7877094972067039,0.22905027932960895,0.13966480446927376,0.02793296089385475,0.0335195530726257,1.2178770949720672,2016
5,6,Chris Paul,30,LAC,0.0,107.0,1310,0.082,74,32.7,19.5,4.2,10.0,2.1,0.2,0.462,0.371,0.896,12.7,0.253,0.5963302752293578,0.12844036697247707,0.3058103975535168,0.06422018348623854,0.0061162079510703364,1.1009174311926606,2016
6,7,Draymond Green,25,GSW,0.0,50.0,1310,0.038,81,34.7,14.0,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19,0.4034582132564841,0.2737752161383285,0.2132564841498559,0.04322766570605187,0.04034582132564841,0.9740634005763688,2016
7,8,Damian Lillard,25,POR,0.0,26.0,1310,0.02,75,35.7,25.1,4.0,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165,0.7030812324929971,0.11204481792717086,0.19047619047619047,0.025210084033613443,0.011204481792717087,1.042016806722689,2016
8,9,James Harden,26,HOU,0.0,9.0,1310,0.007,82,38.1,29.0,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204,0.7611548556430446,0.1601049868766404,0.19685039370078738,0.04461942257217848,0.015748031496062992,1.178477690288714,2016
9,10,Kyle Lowry,29,TOR,0.0,6.0,1310,0.005,77,37.0,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196,0.572972972972973,0.12702702702702703,0.17297297297297298,0.05675675675675676,0.010810810810810811,0.9405405405405406,2016
