,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
92,13,Vince Carter,28,TOT,0.0,3.0,1270,0.002,77,36.7,24.5,5.2,4.2,1.4,0.6,0.452,0.406,0.798,9.4,0.159,0.667574931880109,0.1416893732970027,0.11444141689373297,0.03814713896457765,0.01634877384196185,0.9782016348773842,2005
93,14,P.J. Brown,35,NOH,0.0,1.0,1270,0.001,82,34.4,10.8,9.0,2.2,0.9,0.6,0.446,0.0,0.864,6.9,0.118,0.3139534883720931,0.2616279069767442,0.06395348837209303,0.02616279069767442,0.01744186046511628,0.6831395348837211,2005
94,14,Marcus Camby,30,DEN,0.0,1.0,1270,0.001,66,30.5,10.3,10.0,2.3,0.9,3.0,0.465,0.0,0.723,5.8,0.138,0.3377049180327869,0.32786885245901637,0.07540983606557376,0.029508196721311476,0.09836065573770492,0.8688524590163933,2005
95,14,Shawn Marion,26,PHO,0.0,1.0,1270,0.001,81,38.8,19.4,11.3,1.9,2.0,1.5,0.476,0.334,0.833,12.5,0.191,0.5,0.2912371134020619,0.04896907216494845,0.051546391752577324,0.03865979381443299,0.9304123711340208,2005
96,1,Steve Nash,31,PHO,57.0,924.0,1250,0.739,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,0.5310734463276836,0.11864406779661017,0.2966101694915254,0.02259887005649718,0.005649717514124295,0.9745762711864406,2006
97,2,LeBron James,21,CLE,16.0,688.0,1250,0.55,79,42.5,31.4,7.0,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232,0.7388235294117647,0.16470588235294117,0.1552941176470588,0.037647058823529415,0.018823529411764708,1.1152941176470585,2006
98,3,Dirk Nowitzki,27,DAL,14.0,544.0,1250,0.435,81,38.1,26.6,9.0,2.8,0.7,1.0,0.48,0.406,0.901,17.7,0.275,0.6981627296587927,0.23622047244094488,0.07349081364829396,0.01837270341207349,0.026246719160104987,1.05249343832021,2006
99,4,Kobe Bryant,27,LAL,22.0,483.0,1250,0.386,80,41.0,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224,0.8634146341463415,0.12926829268292683,0.10975609756097561,0.04390243902439025,0.00975609756097561,1.15609756097561,2006
100,5,Chauncey Billups,29,DET,15.0,430.0,1250,0.344,81,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254,0.5124653739612188,0.08587257617728532,0.2382271468144044,0.024930747922437674,0.002770083102493075,0.8642659279778392,2006
101,6,Dwyane Wade,24,MIA,0.0,87.0,1250,0.07,75,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,14.4,0.239,0.7046632124352331,0.14766839378238342,0.17357512953367876,0.049222797927461134,0.02072538860103627,1.0958549222797926,2006
102,7,Elton Brand,26,LAC,1.0,50.0,1250,0.04,79,39.2,24.7,10.0,2.6,1.0,2.5,0.527,0.333,0.775,14.8,0.229,0.6301020408163265,0.25510204081632654,0.0663265306122449,0.02551020408163265,0.06377551020408163,1.040816326530612,2006
103,8,Tim Duncan,29,SAS,0.0,33.0,1250,0.026,80,34.8,18.6,11.0,3.2,0.9,2.0,0.484,0.4,0.629,10.8,0.187,0.5344827586206897,0.3160919540229885,0.09195402298850576,0.025862068965517244,0.0574712643678161,1.0258620689655173,2006
104,9,Tony Parker,23,SAS,0.0,9.0,1250,0.007,80,33.9,18.9,3.3,5.8,1.0,0.1,0.548,0.306,0.707,9.6,0.169,0.5575221238938053,0.09734513274336283,0.1710914454277286,0.029498525073746312,0.0029498525073746317,0.8584070796460177,2006
105,10,Allen Iverson,30,PHI,0.0,1.0,1250,0.001,72,43.1,33.0,3.2,7.4,1.9,0.1,0.447,0.323,0.814,10.6,0.165,0.765661252900232,0.07424593967517401,0.1716937354988399,0.04408352668213457,0.002320185614849188,1.0580046403712298,2006
106,10,Shawn Marion,27,PHO,0.0,1.0,1250,0.001,81,40.3,21.8,11.8,1.8,2.0,1.7,0.525,0.331,0.809,14.6,0.214,0.5409429280397023,0.2928039702233251,0.044665012406947896,0.04962779156327544,0.04218362282878412,0.9702233250620348,2006
107,1,Dirk Nowitzki,28,DAL,83.0,1138.0,1290,0.882,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,0.6795580110497238,0.2458563535911602,0.09392265193370165,0.01933701657458563,0.022099447513812154,1.0607734806629834,2007
108,2,Steve Nash,32,PHO,44.0,1013.0,1290,0.785,76,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225,0.5269121813031162,0.09915014164305949,0.3286118980169972,0.022662889518413602,0.0028328611898017003,0.9801699716713882,2007
109,3,Kobe Bryant,28,LAL,2.0,521.0,1290,0.404,77,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13.0,0.199,0.7745098039215688,0.13970588235294118,0.13235294117647062,0.03431372549019608,0.012254901960784315,1.093137254901961,2007
110,4,Tim Duncan,30,SAS,0.0,286.0,1290,0.222,80,34.1,20.0,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13.0,0.23,0.5865102639296187,0.31085043988269795,0.09970674486803519,0.02346041055718475,0.07038123167155425,1.0909090909090908,2007
111,5,LeBron James,22,CLE,0.0,183.0,1290,0.142,78,40.9,27.3,6.7,6.0,1.6,0.7,0.476,0.319,0.698,13.7,0.206,0.6674816625916871,0.16381418092909536,0.1466992665036675,0.039119804400978,0.017114914425427872,1.0342298288508558,2007
112,6,Tracy McGrady,27,HOU,0.0,110.0,1290,0.085,71,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.707,8.6,0.163,0.6871508379888269,0.14804469273743018,0.18156424581005587,0.036312849162011177,0.013966480446927375,1.0670391061452515,2007
113,7,Chris Bosh,22,TOR,0.0,43.0,1290,0.033,69,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.343,0.785,9.6,0.174,0.5870129870129871,0.2779220779220779,0.06493506493506493,0.015584415584415584,0.03376623376623377,0.9792207792207793,2007
114,8,Gilbert Arenas,25,WAS,0.0,31.0,1290,0.024,74,39.8,28.4,4.6,6.0,1.9,0.2,0.418,0.351,0.844,10.8,0.177,0.7135678391959799,0.11557788944723618,0.15075376884422112,0.04773869346733668,0.0050251256281407045,1.0326633165829144,2007
115,9,Carlos Boozer,25,UTA,0.0,7.0,1290,0.005,74,34.6,20.9,11.7,3.0,0.9,0.3,0.561,0.0,0.685,9.9,0.185,0.6040462427745664,0.338150289017341,0.08670520231213873,0.02601156069364162,0.008670520231213872,1.0635838150289014,2007
116,9,Kevin Garnett,30,MIN,0.0,7.0,1290,0.005,76,39.4,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,10.7,0.171,0.5685279187817259,0.32487309644670054,0.10406091370558375,0.030456852791878174,0.04314720812182741,1.0710659898477157,2007
117,11,Chauncey Billups,30,DET,0.0,4.0,1290,0.003,70,36.2,17.0,3.4,7.2,1.2,0.2,0.427,0.345,0.883,11.4,0.216,0.46961325966850825,0.09392265193370165,0.19889502762430938,0.03314917127071823,0.0055248618784530384,0.8011049723756907,2007
118,12,Shaquille O'Neal,34,MIA,0.0,3.0,1290,0.002,40,28.4,17.3,7.4,2.0,0.2,1.4,0.591,0.0,0.422,2.8,0.119,0.6091549295774649,0.2605633802816902,0.07042253521126761,0.007042253521126762,0.04929577464788732,0.9964788732394367,2007
119,12,Dwyane Wade,25,MIA,0.0,3.0,1290,0.002,51,37.9,27.4,4.7,7.5,2.1,1.2,0.491,0.266,0.807,8.8,0.219,0.7229551451187335,0.12401055408970978,0.1978891820580475,0.0554089709762533,0.0316622691292876,1.1319261213720317,2007
120,14,Amar'e Stoudemire,24,PHO,0.0,2.0,1290,0.002,82,32.8,20.4,9.6,1.0,1.0,1.3,0.575,0.0,0.781,11.2,0.201,0.6219512195121951,0.29268292682926833,0.030487804878048783,0.030487804878048783,0.03963414634146342,1.0152439024390245,2007
121,15,Carmelo Anthony,22,DEN,0.0,1.0,1290,0.001,65,38.2,28.9,6.0,3.8,1.2,0.4,0.476,0.268,0.808,7.3,0.14,0.7565445026178009,0.15706806282722513,0.09947643979057591,0.031413612565445025,0.010471204188481676,1.0549738219895284,2007
122,15,Baron Davis,27,GSW,0.0,1.0,1290,0.001,63,35.3,20.1,4.4,8.1,2.1,0.5,0.439,0.304,0.745,6.4,0.139,0.5694050991501417,0.12464589235127481,0.22946175637393768,0.0594900849858357,0.0141643059490085,0.9971671388101985,2007
123,15,Tony Parker,24,SAS,0.0,1.0,1290,0.001,77,32.5,18.6,3.2,5.5,1.1,0.1,0.52,0.395,0.783,9.6,0.185,0.5723076923076924,0.09846153846153846,0.16923076923076924,0.03384615384615385,0.003076923076923077,0.876923076923077,2007
124,1,Kobe Bryant,29,LAL,82.0,1100.0,1260,0.873,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,0.7275064267352186,0.16195372750642673,0.13881748071979436,0.04627249357326479,0.012853470437017995,1.0874035989717226,2008
125,2,Chris Paul,22,NOH,28.0,894.0,1260,0.71,80,37.6,21.1,4.0,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284,0.5611702127659575,0.10638297872340426,0.30851063829787234,0.07180851063829788,0.0026595744680851063,1.0505319148936172,2008
126,3,Kevin Garnett,31,BOS,15.0,670.0,1260,0.532,71,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0.0,0.801,12.9,0.265,0.5731707317073171,0.2804878048780488,0.10365853658536586,0.042682926829268296,0.03963414634146342,1.0396341463414633,2008
127,4,LeBron James,23,CLE,1.0,438.0,1260,0.348,75,40.4,30.0,7.9,7.2,1.8,1.1,0.484,0.315,0.712,15.2,0.242,0.7425742574257426,0.19554455445544555,0.17821782178217824,0.04455445544554456,0.02722772277227723,1.188118811881188,2008
128,5,Dwight Howard,22,ORL,0.0,60.0,1260,0.048,82,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0.0,0.59,12.9,0.2,0.5490716180371352,0.37665782493368694,0.034482758620689655,0.023872679045092837,0.055702917771883284,1.0397877984084878,2008
129,6,Amar'e Stoudemire,25,PHO,0.0,27.0,1260,0.021,79,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262,0.7433628318584071,0.26843657817109146,0.04424778761061947,0.023598820058997053,0.06194690265486726,1.1415929203539827,2008
130,7,Tim Duncan,31,SAS,0.0,25.0,1260,0.02,78,34.0,19.3,11.3,2.8,0.7,1.9,0.497,0.0,0.73,11.1,0.201,0.5676470588235294,0.33235294117647063,0.08235294117647059,0.020588235294117647,0.055882352941176466,1.0588235294117647,2008
131,8,Tracy McGrady,28,HOU,0.0,19.0,1260,0.015,66,37.0,21.6,5.1,5.9,1.0,0.5,0.419,0.292,0.684,5.8,0.115,0.5837837837837838,0.13783783783783782,0.15945945945945947,0.02702702702702703,0.013513513513513514,0.9216216216216216,2008
132,9,Steve Nash,33,PHO,0.0,18.0,1260,0.014,81,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,10.5,0.181,0.49271137026239065,0.10204081632653061,0.32361516034985427,0.020408163265306124,0.002915451895043732,0.9416909620991254,2008
133,10,Manu Ginóbili,30,SAS,0.0,9.0,1260,0.007,74,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232,0.6270096463022508,0.15434083601286172,0.14469453376205788,0.04823151125401929,0.012861736334405145,0.9871382636655948,2008
134,11,Dirk Nowitzki,29,DAL,0.0,5.0,1260,0.004,77,36.0,23.6,8.6,3.5,0.7,0.9,0.479,0.359,0.879,12.9,0.223,0.6555555555555556,0.23888888888888887,0.09722222222222222,0.019444444444444445,0.025,1.036111111111111,2008
135,12,Deron Williams,23,UTA,0.0,4.0,1260,0.003,82,37.3,18.8,3.0,10.5,1.1,0.3,0.507,0.395,0.803,11.3,0.177,0.5040214477211796,0.0804289544235925,0.28150134048257375,0.02949061662198392,0.00804289544235925,0.9034852546916892,2008
136,13,Carmelo Anthony,23,DEN,0.0,3.0,1260,0.002,77,36.4,25.7,7.4,3.4,1.3,0.5,0.492,0.354,0.786,8.2,0.14,0.7060439560439561,0.20329670329670332,0.09340659340659341,0.03571428571428572,0.013736263736263736,1.0521978021978022,2008
137,14,Carlos Boozer,26,UTA,0.0,1.0,1260,0.001,81,34.9,21.1,10.4,2.9,1.2,0.5,0.547,0.0,0.738,10.2,0.173,0.6045845272206304,0.2979942693409742,0.0830945558739255,0.034383954154727794,0.014326647564469915,1.0343839541547277,2008
138,14,Antawn Jamison,31,WAS,0.0,1.0,1260,0.001,79,38.7,21.4,10.2,1.5,1.3,0.4,0.436,0.339,0.76,9.2,0.144,0.5529715762273901,0.2635658914728682,0.03875968992248062,0.03359173126614987,0.0103359173126615,0.8992248062015503,2008
139,14,Paul Pierce,30,BOS,0.0,1.0,1260,0.001,80,35.9,19.6,5.1,4.5,1.3,0.5,0.464,0.392,0.843,12.4,0.207,0.5459610027855154,0.14206128133704735,0.12534818941504178,0.036211699164345405,0.01392757660167131,0.8635097493036212,2008
140,14,Rasheed Wallace,33,DET,0.0,1.0,1260,0.001,77,30.5,12.7,6.6,1.8,1.2,1.7,0.432,0.356,0.767,7.6,0.155,0.4163934426229508,0.21639344262295082,0.05901639344262295,0.039344262295081964,0.05573770491803279,0.7868852459016393,2008
141,1,LeBron James,24,CLE,109.0,1172.0,1210,0.969,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,0.7533156498673739,0.2015915119363395,0.1909814323607427,0.04509283819628647,0.029177718832891247,1.2201591511936338,2009
142,2,Kobe Bryant,30,LAL,2.0,698.0,1210,0.577,82,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206,0.7423822714681441,0.1440443213296399,0.13573407202216067,0.04155124653739612,0.013850415512465374,1.0775623268698062,2009
143,3,Dwyane Wade,27,MIA,7.0,680.0,1210,0.562,79,38.6,30.2,5.0,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232,0.7823834196891192,0.12953367875647667,0.19430051813471502,0.05699481865284974,0.03367875647668394,1.1968911917098444,2009
144,4,Dwight Howard,23,ORL,1.0,328.0,1210,0.271,79,35.7,20.6,13.8,1.4,1.0,2.9,0.572,0.0,0.594,13.8,0.234,0.5770308123249299,0.3865546218487395,0.039215686274509796,0.028011204481792715,0.08123249299719887,1.1120448179271707,2009
145,5,Chris Paul,23,NOH,2.0,192.0,1210,0.159,78,38.5,22.8,5.5,11.0,2.8,0.1,0.503,0.364,0.868,18.3,0.292,0.5922077922077922,0.14285714285714285,0.2857142857142857,0.07272727272727272,0.0025974025974025974,1.096103896103896,2009
146,6,Chauncey Billups,32,TOT,0.0,33.0,1210,0.027,79,35.3,17.7,3.0,6.4,1.2,0.2,0.418,0.408,0.913,10.1,0.174,0.5014164305949008,0.08498583569405099,0.18130311614730882,0.0339943342776204,0.005665722379603401,0.8073654390934846,2009
147,7,Paul Pierce,31,BOS,0.0,21.0,1210,0.017,81,37.5,20.5,5.6,3.6,1.0,0.3,0.457,0.391,0.83,10.3,0.164,0.5466666666666666,0.14933333333333332,0.096,0.02666666666666667,0.008,0.8266666666666665,2009
148,8,Tony Parker,26,SAS,0.0,9.0,1210,0.007,72,34.1,22.0,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168,0.6451612903225806,0.09090909090909091,0.2023460410557185,0.026392961876832845,0.002932551319648094,0.967741935483871,2009
149,9,Brandon Roy,24,POR,0.0,7.0,1210,0.006,78,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223,0.6075268817204301,0.12634408602150538,0.13709677419354838,0.02956989247311828,0.008064516129032258,0.9086021505376344,2009
150,10,Dirk Nowitzki,30,DAL,0.0,3.0,1210,0.002,81,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171,0.6870026525198938,0.22281167108753314,0.06366047745358089,0.021220159151193633,0.021220159151193633,1.0159151193633953,2009
151,11,Tim Duncan,32,SAS,0.0,2.0,1210,0.002,75,33.7,19.3,10.7,3.5,0.5,1.7,0.504,0.0,0.692,10.1,0.191,0.5727002967359051,0.3175074183976261,0.10385756676557863,0.014836795252225518,0.05044510385756676,1.0593471810089021,2009
152,12,Yao Ming,28,HOU,0.0,1.0,1210,0.001,77,33.6,19.7,9.9,1.8,0.4,1.9,0.548,1.0,0.866,10.6,0.196,0.5863095238095237,0.29464285714285715,0.05357142857142857,0.011904761904761904,0.05654761904761904,1.0029761904761905,2009
153,1,LeBron James,25,CLE,116.0,1205.0,1230,0.98,76,39.0,29.7,7.3,8.6,1.6,1.0,0.503,0.333,0.767,18.5,0.299,0.7615384615384615,0.18717948717948718,0.2205128205128205,0.041025641025641026,0.02564102564102564,1.2358974358974357,2010
154,2,Kevin Durant,21,OKC,4.0,609.0,1230,0.495,82,39.5,30.1,7.6,2.8,1.4,1.0,0.476,0.365,0.9,16.1,0.238,0.7620253164556963,0.19240506329113924,0.07088607594936708,0.03544303797468354,0.02531645569620253,1.0860759493670886,2010
155,3,Kobe Bryant,31,LAL,0.0,599.0,1230,0.487,73,38.8,27.0,5.4,5.0,1.5,0.3,0.456,0.329,0.811,9.4,0.16,0.6958762886597939,0.1391752577319588,0.1288659793814433,0.03865979381443299,0.007731958762886598,1.0103092783505156,2010
156,4,Dwight Howard,24,ORL,3.0,478.0,1230,0.389,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0.0,0.592,13.2,0.223,0.5273775216138328,0.38040345821325644,0.05187319884726224,0.02593659942363112,0.08069164265129682,1.0662824207492796,2010
157,5,Dwyane Wade,28,MIA,0.0,119.0,1230,0.097,77,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13.0,0.224,0.7327823691460056,0.1322314049586777,0.1790633608815427,0.04958677685950414,0.030303030303030307,1.1239669421487604,2010
158,6,Carmelo Anthony,25,DEN,0.0,65.0,1230,0.053,69,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145,0.7382198952879581,0.17277486910994763,0.08376963350785341,0.034031413612565446,0.010471204188481676,1.039267015706806,2010
159,7,Dirk Nowitzki,31,DAL,0.0,55.0,1230,0.045,81,37.5,25.0,7.7,2.7,0.9,1.0,0.481,0.421,0.915,12.3,0.194,0.6666666666666666,0.20533333333333334,0.07200000000000001,0.024,0.02666666666666667,0.9946666666666666,2010
160,8,Steve Nash,35,PHO,0.0,49.0,1230,0.04,81,32.8,16.5,3.3,11.0,0.5,0.1,0.507,0.426,0.938,9.9,0.178,0.5030487804878049,0.10060975609756098,0.3353658536585366,0.015243902439024392,0.0030487804878048786,0.9573170731707317,2010
161,9,Deron Williams,25,UTA,0.0,7.0,1230,0.006,76,36.9,18.7,4.0,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177,0.5067750677506775,0.10840108401084012,0.2845528455284553,0.03523035230352304,0.005420054200542006,0.940379403794038,2010
162,10,Amar'e Stoudemire,27,PHO,0.0,5.0,1230,0.004,82,34.6,23.1,8.9,1.0,0.6,1.0,0.557,0.167,0.771,10.7,0.181,0.6676300578034682,0.25722543352601157,0.028901734104046242,0.017341040462427744,0.028901734104046242,1.0,2010
163,11,Manu Ginóbili,32,SAS,0.0,3.0,1230,0.002,75,28.7,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,9.7,0.216,0.5749128919860628,0.13240418118466898,0.17073170731707318,0.048780487804878044,0.010452961672473867,0.937282229965157,2010
164,12,Chauncey Billups,33,DEN,0.0,1.0,1230,0.001,73,34.1,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,9.5,0.182,0.5718475073313782,0.09090909090909091,0.16422287390029325,0.03225806451612903,0.002932551319648094,0.8621700879765395,2010
165,12,Chris Bosh,25,TOR,0.0,1.0,1230,0.001,70,36.1,24.0,10.8,2.4,0.6,1.0,0.518,0.364,0.797,9.6,0.182,0.6648199445983379,0.2991689750692521,0.06648199445983378,0.016620498614958446,0.027700831024930747,1.074792243767313,2010
166,12,Stephen Jackson,31,TOT,0.0,1.0,1230,0.001,81,38.6,20.6,5.0,3.7,1.6,0.5,0.423,0.328,0.779,5.0,0.077,0.533678756476684,0.12953367875647667,0.09585492227979275,0.04145077720207254,0.012953367875647668,0.8134715025906737,2010
167,12,Joe Johnson,28,ATL,0.0,1.0,1230,0.001,76,38.0,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,8.4,0.14,0.5605263157894737,0.12105263157894736,0.12894736842105264,0.028947368421052635,0.002631578947368421,0.8421052631578948,2010
168,1,Derrick Rose,22,CHI,113.0,1182.0,1210,0.977,81,37.4,25.0,4.1,7.7,1.0,0.6,0.445,0.332,0.858,13.1,0.208,0.6684491978609626,0.10962566844919786,0.2058823529411765,0.026737967914438502,0.016042780748663103,1.0267379679144386,2011
169,2,Dwight Howard,25,ORL,3.0,643.0,1210,0.531,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0.0,0.596,14.4,0.235,0.6090425531914893,0.375,0.03723404255319149,0.03723404255319149,0.06382978723404255,1.1223404255319147,2011
170,3,LeBron James,26,MIA,4.0,522.0,1210,0.431,79,38.8,26.7,7.5,7.0,1.6,0.6,0.51,0.33,0.759,15.6,0.244,0.6881443298969072,0.19329896907216496,0.18041237113402064,0.04123711340206186,0.015463917525773196,1.1185567010309279,2011
171,4,Kobe Bryant,32,LAL,1.0,428.0,1210,0.354,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178,0.7463126843657818,0.15044247787610618,0.13864306784660768,0.035398230088495575,0.0029498525073746317,1.0737463126843658,2011
172,5,Kevin Durant,22,OKC,0.0,190.0,1210,0.157,78,38.9,27.7,6.8,2.7,1.1,1.0,0.462,0.35,0.88,12.0,0.189,0.712082262210797,0.17480719794344474,0.06940874035989718,0.02827763496143959,0.02570694087403599,1.0102827763496145,2011
173,6,Dirk Nowitzki,32,DAL,0.0,113.0,1210,0.093,73,34.3,23.0,7.0,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213,0.6705539358600584,0.20408163265306123,0.07580174927113703,0.01457725947521866,0.01749271137026239,0.9825072886297378,2011
174,7,Dwyane Wade,29,MIA,0.0,24.0,1210,0.02,76,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218,0.6873315363881402,0.1725067385444744,0.12398921832884095,0.04043126684636118,0.029649595687331536,1.053908355795148,2011
175,8,Manu Ginóbili,33,SAS,0.0,20.0,1210,0.017,80,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195,0.5742574257425742,0.12211221122112212,0.16171617161716173,0.0495049504950495,0.013201320132013201,0.9207920792079208,2011
176,9,Amar'e Stoudemire,28,NYK,0.0,9.0,1210,0.007,78,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8.0,0.134,0.6875000000000001,0.22282608695652173,0.07065217391304349,0.024456521739130436,0.051630434782608696,1.0570652173913044,2011
177,10,Blake Griffin,21,LAC,0.0,5.0,1210,0.004,82,38.0,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,0.5921052631578947,0.31842105263157894,0.09999999999999999,0.021052631578947368,0.013157894736842105,1.0447368421052632,2011
178,10,Rajon Rondo,24,BOS,0.0,5.0,1210,0.004,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126,0.28494623655913975,0.11827956989247312,0.30107526881720426,0.061827956989247305,0.005376344086021505,0.7715053763440859,2011
179,12,Tony Parker,28,SAS,0.0,3.0,1210,0.002,78,32.4,17.5,3.1,6.6,1.2,0.0,0.519,0.357,0.769,8.2,0.156,0.5401234567901235,0.09567901234567902,0.2037037037037037,0.037037037037037035,0.0,0.8765432098765433,2011
180,13,Chris Paul,25,NOH,0.0,2.0,1210,0.002,80,36.0,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232,0.44166666666666665,0.11388888888888887,0.27222222222222225,0.06666666666666667,0.002777777777777778,0.8972222222222223,2011
181,1,LeBron James,27,MIA,85.0,1074.0,1210,0.888,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,0.7226666666666667,0.21066666666666667,0.16533333333333333,0.050666666666666665,0.021333333333333336,1.1706666666666667,2012
182,2,Kevin Durant,23,OKC,24.0,889.0,1210,0.735,66,38.6,28.0,8.0,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23,0.7253886010362695,0.20725388601036268,0.09067357512953368,0.03367875647668394,0.031088082901554404,1.088082901554404,2012
183,3,Chris Paul,26,LAC,6.0,385.0,1210,0.318,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278,0.543956043956044,0.09890109890109891,0.25,0.06868131868131869,0.0027472527472527475,0.9642857142857143,2012
184,4,Kobe Bryant,33,LAL,2.0,352.0,1210,0.291,58,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132,0.7246753246753246,0.14025974025974028,0.11948051948051946,0.03116883116883117,0.007792207792207792,1.0233766233766233,2012
185,5,Tony Parker,29,SAS,4.0,331.0,1210,0.274,60,32.1,18.3,2.9,7.7,1.0,0.1,0.48,0.23,0.799,7.1,0.177,0.5700934579439252,0.09034267912772585,0.2398753894080997,0.03115264797507788,0.003115264797507788,0.9345794392523364,2012
186,6,Kevin Love,23,MIN,0.0,58.0,1210,0.048,55,39.0,26.0,13.3,2.0,0.9,0.5,0.448,0.372,0.824,10.0,0.223,0.6666666666666666,0.34102564102564104,0.05128205128205128,0.023076923076923078,0.01282051282051282,1.0948717948717948,2012
187,7,Dwight Howard,26,ORL,0.0,13.0,1210,0.011,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0.0,0.491,7.7,0.179,0.5378590078328982,0.3785900783289817,0.04960835509138381,0.0391644908616188,0.05483028720626632,1.0600522193211488,2012
188,8,Rajon Rondo,25,BOS,0.0,12.0,1210,0.01,53,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,4.9,0.121,0.32249322493224936,0.13008130081300814,0.3170731707317073,0.04878048780487805,0.002710027100271003,0.8211382113821138,2012
189,9,Steve Nash,37,PHO,0.0,7.0,1210,0.006,62,31.6,12.5,3.0,10.7,0.6,0.1,0.532,0.39,0.894,5.9,0.144,0.39556962025316456,0.09493670886075949,0.33860759493670883,0.018987341772151896,0.0031645569620253164,0.8512658227848101,2012
190,10,Dwyane Wade,30,MIA,0.0,6.0,1210,0.005,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227,0.6656626506024096,0.14457831325301204,0.13855421686746985,0.051204819277108425,0.0391566265060241,1.039156626506024,2012
191,11,Derrick Rose,23,CHI,0.0,5.0,1210,0.004,39,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,6.0,0.211,0.6175637393767706,0.0963172804532578,0.22379603399433431,0.0254957507082153,0.019830028328611898,0.98300283286119,2012
192,12,Dirk Nowitzki,33,DAL,0.0,4.0,1210,0.003,62,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,7.6,0.175,0.6447761194029851,0.2,0.06567164179104479,0.0208955223880597,0.014925373134328358,0.9462686567164179,2012
193,12,Russell Westbrook,23,OKC,0.0,4.0,1210,0.003,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163,0.6685552407932013,0.13031161473087818,0.1558073654390935,0.0481586402266289,0.0084985835694051,1.011331444759207,2012
