,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Giannis Antetokounmpo,24,MIL,78.0,941.0,1010,0.932,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292,0.8445121951219513,0.38109756097560976,0.17987804878048783,0.03963414634146342,0.04573170731707318,1.4908536585365852,2019
1,2,James Harden,29,HOU,23.0,776.0,1010,0.768,78,36.8,36.1,6.6,7.5,2.0,0.7,0.442,0.368,0.879,15.2,0.254,0.9809782608695653,0.1793478260869565,0.20380434782608697,0.05434782608695653,0.019021739130434784,1.4375,2019
2,3,Paul George,28,OKC,0.0,356.0,1010,0.352,77,36.9,28.0,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201,0.7588075880758808,0.2222222222222222,0.1111111111111111,0.059620596205962065,0.010840108401084013,1.1626016260162604,2019
3,4,Nikola Jokić,23,DEN,0.0,212.0,1010,0.21,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226,0.6421725239616614,0.34504792332268375,0.23322683706070285,0.04472843450479233,0.022364217252396165,1.2875399361022364,2019
4,5,Stephen Curry,30,GSW,0.0,175.0,1010,0.173,69,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199,0.8076923076923078,0.15680473372781065,0.15384615384615385,0.038461538461538464,0.01183431952662722,1.1686390532544382,2019
5,6,Damian Lillard,28,POR,0.0,69.0,1010,0.068,80,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205,0.7267605633802817,0.1295774647887324,0.1943661971830986,0.03098591549295775,0.011267605633802818,1.0929577464788731,2019
6,7,Joel Embiid,24,PHI,0.0,49.0,1010,0.049,64,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194,0.8160237388724035,0.40356083086053407,0.10979228486646884,0.020771513353115723,0.05637982195845696,1.406528189910979,2019
7,8,Kevin Durant,30,GSW,0.0,25.0,1010,0.025,78,34.6,26.0,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204,0.7514450867052023,0.18497109826589594,0.17052023121387283,0.020231213872832367,0.031791907514450865,1.1589595375722543,2019
8,9,Kawhi Leonard,27,TOR,0.0,13.0,1010,0.013,60,34.0,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,0.224,0.7823529411764706,0.21470588235294116,0.09705882352941175,0.052941176470588235,0.011764705882352941,1.1588235294117648,2019
9,10,Russell Westbrook,30,OKC,0.0,8.0,1010,0.008,73,36.0,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,0.124,0.6361111111111111,0.30833333333333335,0.2972222222222222,0.05277777777777778,0.013888888888888888,1.3083333333333333,2019
10,11T,Rudy Gobert,26,UTA,0.0,1.0,1010,0.001,81,31.8,15.9,12.9,2.0,0.8,2.3,0.669,,0.636,14.4,0.268,0.5,0.4056603773584906,0.06289308176100629,0.025157232704402517,0.07232704402515723,1.0660377358490567,2019
11,11T,LeBron James,34,LAL,0.0,1.0,1010,0.001,55,35.2,27.4,8.5,8.3,1.3,0.6,0.51,0.339,0.665,7.2,0.179,0.7784090909090908,0.2414772727272727,0.23579545454545456,0.03693181818181818,0.017045454545454544,1.3096590909090908,2019
