Rank
1
2
3
4
5
6
7
8
9
10
11
12
13
13
13
13
1
2
3
4
5
6
7
8
9
10
11
11
13
14
15
15
15
1
2
3
4
5
6
7
8
9
10
11
12
13
14
15
16
16
16
1
2
3
4
5
6
7
8
9
10
11
11
11
1
2
3
4
5
6
7
8
9
10
10
10
13
14
14
14
1
2
3
4
5
6
7
8
9
9
11
12
13
14
14
14
1
2
3
4
5
6
7
8
9
10
10
1
2
3
4
5
6
7
8
9
9
11
12
12
14
15
15
15
1
2
3
4
5
6
7
8
9
10
11
12
13
14
14
14
14
1
2
3
4
5
6
7
8
9
10
11
12
1
2
3
4
5
6
7
8
9
10
11
12
12
12
12
1
2
3
4
5
6
7
8
9
10
10
12
13
1
2
3
4
5
6
7
8
9
10
11
12
12
14
15
1
2
3
4
5
6
7
8
9
10
11
12
12
12
12
12
1
2
3
4
5
6
7
8
9
10
11
12
12
14
15
16
17
1
2
3
4
5
6
7
8
8
10
10
10
1
2
3
4
5
6
7
8
9
10
1
2
3
4
5
6
7
7
9
9
11
1
2
3
4
5
6
7
8
9
10
10
12
13
1
2
3
4
5
6
7
8
9
10
11
11
1
2
3
4
5
6
7
8
9
10
11
12
1
2
3
4
5
6
7
8
9
10
11
12
13
13
13
1
2
3
4
5
6
7
8
9
10
10
10
