Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
1,LeBron James,27,MIA,85.0,1074.0,1210,0.888,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298,0.7226666666666667,0.21066666666666667,0.16533333333333333,0.050666666666666665,0.021333333333333336,1.1706666666666667,2012
2,Kevin Durant,23,OKC,24.0,889.0,1210,0.735,66,38.6,28.0,8.0,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23,0.7253886010362695,0.20725388601036268,0.09067357512953368,0.03367875647668394,0.031088082901554404,1.088082901554404,2012
3,Chris Paul,26,LAC,6.0,385.0,1210,0.318,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278,0.543956043956044,0.09890109890109891,0.25,0.06868131868131869,0.0027472527472527475,0.9642857142857143,2012
4,Kobe Bryant,33,LAL,2.0,352.0,1210,0.291,58,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132,0.7246753246753246,0.14025974025974028,0.11948051948051946,0.03116883116883117,0.007792207792207792,1.0233766233766233,2012
5,Tony Parker,29,SAS,4.0,331.0,1210,0.274,60,32.1,18.3,2.9,7.7,1.0,0.1,0.48,0.23,0.799,7.1,0.177,0.5700934579439252,0.09034267912772585,0.2398753894080997,0.03115264797507788,0.003115264797507788,0.9345794392523364,2012
6,Kevin Love,23,MIN,0.0,58.0,1210,0.048,55,39.0,26.0,13.3,2.0,0.9,0.5,0.448,0.372,0.824,10.0,0.223,0.6666666666666666,0.34102564102564104,0.05128205128205128,0.023076923076923078,0.01282051282051282,1.0948717948717948,2012
7,Dwight Howard,26,ORL,0.0,13.0,1210,0.011,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0.0,0.491,7.7,0.179,0.5378590078328982,0.3785900783289817,0.04960835509138381,0.0391644908616188,0.05483028720626632,1.0600522193211488,2012
8,Rajon Rondo,25,BOS,0.0,12.0,1210,0.01,53,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,4.9,0.121,0.32249322493224936,0.13008130081300814,0.3170731707317073,0.04878048780487805,0.002710027100271003,0.8211382113821138,2012
9,Steve Nash,37,PHO,0.0,7.0,1210,0.006,62,31.6,12.5,3.0,10.7,0.6,0.1,0.532,0.39,0.894,5.9,0.144,0.39556962025316456,0.09493670886075949,0.33860759493670883,0.018987341772151896,0.0031645569620253164,0.8512658227848101,2012
10,Dwyane Wade,30,MIA,0.0,6.0,1210,0.005,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227,0.6656626506024096,0.14457831325301204,0.13855421686746985,0.051204819277108425,0.0391566265060241,1.039156626506024,2012
11,Derrick Rose,23,CHI,0.0,5.0,1210,0.004,39,35.3,21.8,3.4,7.9,0.9,0.7,0.435,0.312,0.812,6.0,0.211,0.6175637393767706,0.0963172804532578,0.22379603399433431,0.0254957507082153,0.019830028328611898,0.98300283286119,2012
12,Dirk Nowitzki,33,DAL,0.0,4.0,1210,0.003,62,33.5,21.6,6.7,2.2,0.7,0.5,0.457,0.368,0.896,7.6,0.175,0.6447761194029851,0.2,0.06567164179104479,0.0208955223880597,0.014925373134328358,0.9462686567164179,2012
12,Russell Westbrook,23,OKC,0.0,4.0,1210,0.003,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163,0.6685552407932013,0.13031161473087818,0.1558073654390935,0.0481586402266289,0.0084985835694051,1.011331444759207,2012
14,Tim Duncan,35,SAS,0.0,3.0,1210,0.002,58,28.2,15.4,9.0,2.3,0.7,1.5,0.492,0.0,0.695,5.9,0.174,0.5460992907801419,0.3191489361702128,0.08156028368794326,0.02482269503546099,0.05319148936170213,1.0248226950354609,2012
15,Joe Johnson,30,ATL,0.0,1.0,1210,0.001,60,35.5,18.8,3.7,3.9,0.8,0.2,0.454,0.388,0.849,6.4,0.145,0.5295774647887325,0.10422535211267606,0.10985915492957746,0.022535211267605635,0.005633802816901409,0.7718309859154929,2012
