,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Dirk Nowitzki,28,DAL,83.0,1138.0,1290,0.882,78,36.2,24.6,8.9,3.4,0.7,0.8,0.502,0.416,0.904,16.3,0.278,0.6795580110497238,0.2458563535911602,0.09392265193370165,0.01933701657458563,0.022099447513812154,1.0607734806629834,2007
1,2,Steve Nash,32,PHO,44.0,1013.0,1290,0.785,76,35.3,18.6,3.5,11.6,0.8,0.1,0.532,0.455,0.899,12.6,0.225,0.5269121813031162,0.09915014164305949,0.3286118980169972,0.022662889518413602,0.0028328611898017003,0.9801699716713882,2007
2,3,Kobe Bryant,28,LAL,2.0,521.0,1290,0.404,77,40.8,31.6,5.7,5.4,1.4,0.5,0.463,0.344,0.868,13.0,0.199,0.7745098039215688,0.13970588235294118,0.13235294117647062,0.03431372549019608,0.012254901960784315,1.093137254901961,2007
3,4,Tim Duncan,30,SAS,0.0,286.0,1290,0.222,80,34.1,20.0,10.6,3.4,0.8,2.4,0.546,0.111,0.637,13.0,0.23,0.5865102639296187,0.31085043988269795,0.09970674486803519,0.02346041055718475,0.07038123167155425,1.0909090909090908,2007
4,5,LeBron James,22,CLE,0.0,183.0,1290,0.142,78,40.9,27.3,6.7,6.0,1.6,0.7,0.476,0.319,0.698,13.7,0.206,0.6674816625916871,0.16381418092909536,0.1466992665036675,0.039119804400978,0.017114914425427872,1.0342298288508558,2007
5,6,Tracy McGrady,27,HOU,0.0,110.0,1290,0.085,71,35.8,24.6,5.3,6.5,1.3,0.5,0.431,0.331,0.707,8.6,0.163,0.6871508379888269,0.14804469273743018,0.18156424581005587,0.036312849162011177,0.013966480446927375,1.0670391061452515,2007
6,7,Chris Bosh,22,TOR,0.0,43.0,1290,0.033,69,38.5,22.6,10.7,2.5,0.6,1.3,0.496,0.343,0.785,9.6,0.174,0.5870129870129871,0.2779220779220779,0.06493506493506493,0.015584415584415584,0.03376623376623377,0.9792207792207793,2007
7,8,Gilbert Arenas,25,WAS,0.0,31.0,1290,0.024,74,39.8,28.4,4.6,6.0,1.9,0.2,0.418,0.351,0.844,10.8,0.177,0.7135678391959799,0.11557788944723618,0.15075376884422112,0.04773869346733668,0.0050251256281407045,1.0326633165829144,2007
8,9,Carlos Boozer,25,UTA,0.0,7.0,1290,0.005,74,34.6,20.9,11.7,3.0,0.9,0.3,0.561,0.0,0.685,9.9,0.185,0.6040462427745664,0.338150289017341,0.08670520231213873,0.02601156069364162,0.008670520231213872,1.0635838150289014,2007
9,9,Kevin Garnett,30,MIN,0.0,7.0,1290,0.005,76,39.4,22.4,12.8,4.1,1.2,1.7,0.476,0.214,0.835,10.7,0.171,0.5685279187817259,0.32487309644670054,0.10406091370558375,0.030456852791878174,0.04314720812182741,1.0710659898477157,2007
10,11,Chauncey Billups,30,DET,0.0,4.0,1290,0.003,70,36.2,17.0,3.4,7.2,1.2,0.2,0.427,0.345,0.883,11.4,0.216,0.46961325966850825,0.09392265193370165,0.19889502762430938,0.03314917127071823,0.0055248618784530384,0.8011049723756907,2007
11,12,Shaquille O'Neal,34,MIA,0.0,3.0,1290,0.002,40,28.4,17.3,7.4,2.0,0.2,1.4,0.591,0.0,0.422,2.8,0.119,0.6091549295774649,0.2605633802816902,0.07042253521126761,0.007042253521126762,0.04929577464788732,0.9964788732394367,2007
12,12,Dwyane Wade,25,MIA,0.0,3.0,1290,0.002,51,37.9,27.4,4.7,7.5,2.1,1.2,0.491,0.266,0.807,8.8,0.219,0.7229551451187335,0.12401055408970978,0.1978891820580475,0.0554089709762533,0.0316622691292876,1.1319261213720317,2007
13,14,Amar'e Stoudemire,24,PHO,0.0,2.0,1290,0.002,82,32.8,20.4,9.6,1.0,1.0,1.3,0.575,0.0,0.781,11.2,0.201,0.6219512195121951,0.29268292682926833,0.030487804878048783,0.030487804878048783,0.03963414634146342,1.0152439024390245,2007
14,15,Carmelo Anthony,22,DEN,0.0,1.0,1290,0.001,65,38.2,28.9,6.0,3.8,1.2,0.4,0.476,0.268,0.808,7.3,0.14,0.7565445026178009,0.15706806282722513,0.09947643979057591,0.031413612565445025,0.010471204188481676,1.0549738219895284,2007
15,15,Baron Davis,27,GSW,0.0,1.0,1290,0.001,63,35.3,20.1,4.4,8.1,2.1,0.5,0.439,0.304,0.745,6.4,0.139,0.5694050991501417,0.12464589235127481,0.22946175637393768,0.0594900849858357,0.0141643059490085,0.9971671388101985,2007
16,15,Tony Parker,24,SAS,0.0,1.0,1290,0.001,77,32.5,18.6,3.2,5.5,1.1,0.1,0.52,0.395,0.783,9.6,0.185,0.5723076923076924,0.09846153846153846,0.16923076923076924,0.03384615384615385,0.003076923076923077,0.876923076923077,2007
