Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
1,LeBron James,24,CLE,109.0,1172.0,1210,0.969,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,0.7533156498673739,0.2015915119363395,0.1909814323607427,0.04509283819628647,0.029177718832891247,1.2201591511936338,2009
2,Kobe Bryant,30,LAL,2.0,698.0,1210,0.577,82,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206,0.7423822714681441,0.1440443213296399,0.13573407202216067,0.04155124653739612,0.013850415512465374,1.0775623268698062,2009
3,Dwyane Wade,27,MIA,7.0,680.0,1210,0.562,79,38.6,30.2,5.0,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232,0.7823834196891192,0.12953367875647667,0.19430051813471502,0.05699481865284974,0.03367875647668394,1.1968911917098444,2009
4,Dwight Howard,23,ORL,1.0,328.0,1210,0.271,79,35.7,20.6,13.8,1.4,1.0,2.9,0.572,0.0,0.594,13.8,0.234,0.5770308123249299,0.3865546218487395,0.039215686274509796,0.028011204481792715,0.08123249299719887,1.1120448179271707,2009
5,Chris Paul,23,NOH,2.0,192.0,1210,0.159,78,38.5,22.8,5.5,11.0,2.8,0.1,0.503,0.364,0.868,18.3,0.292,0.5922077922077922,0.14285714285714285,0.2857142857142857,0.07272727272727272,0.0025974025974025974,1.096103896103896,2009
6,Chauncey Billups,32,TOT,0.0,33.0,1210,0.027,79,35.3,17.7,3.0,6.4,1.2,0.2,0.418,0.408,0.913,10.1,0.174,0.5014164305949008,0.08498583569405099,0.18130311614730882,0.0339943342776204,0.005665722379603401,0.8073654390934846,2009
7,Paul Pierce,31,BOS,0.0,21.0,1210,0.017,81,37.5,20.5,5.6,3.6,1.0,0.3,0.457,0.391,0.83,10.3,0.164,0.5466666666666666,0.14933333333333332,0.096,0.02666666666666667,0.008,0.8266666666666665,2009
8,Tony Parker,26,SAS,0.0,9.0,1210,0.007,72,34.1,22.0,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168,0.6451612903225806,0.09090909090909091,0.2023460410557185,0.026392961876832845,0.002932551319648094,0.967741935483871,2009
9,Brandon Roy,24,POR,0.0,7.0,1210,0.006,78,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223,0.6075268817204301,0.12634408602150538,0.13709677419354838,0.02956989247311828,0.008064516129032258,0.9086021505376344,2009
10,Dirk Nowitzki,30,DAL,0.0,3.0,1210,0.002,81,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171,0.6870026525198938,0.22281167108753314,0.06366047745358089,0.021220159151193633,0.021220159151193633,1.0159151193633953,2009
11,Tim Duncan,32,SAS,0.0,2.0,1210,0.002,75,33.7,19.3,10.7,3.5,0.5,1.7,0.504,0.0,0.692,10.1,0.191,0.5727002967359051,0.3175074183976261,0.10385756676557863,0.014836795252225518,0.05044510385756676,1.0593471810089021,2009
12,Yao Ming,28,HOU,0.0,1.0,1210,0.001,77,33.6,19.7,9.9,1.8,0.4,1.9,0.548,1.0,0.866,10.6,0.196,0.5863095238095237,0.29464285714285715,0.05357142857142857,0.011904761904761904,0.05654761904761904,1.0029761904761905,2009
