,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Russell Westbrook,28,OKC,69.0,888.0,1010,0.879,81,34.6,31.6,10.7,10.4,1.6,0.4,0.425,0.343,0.845,13.1,0.224,0.9132947976878613,0.3092485549132948,0.30057803468208094,0.046242774566473986,0.011560693641618497,1.5809248554913296,2017
1,2,James Harden,27,HOU,22.0,753.0,1010,0.746,81,36.4,29.1,8.1,11.2,1.5,0.5,0.44,0.347,0.847,15.0,0.245,0.7994505494505495,0.22252747252747251,0.3076923076923077,0.04120879120879121,0.013736263736263736,1.3846153846153846,2017
2,3,Kawhi Leonard,25,SAS,9.0,500.0,1010,0.495,74,33.4,25.5,5.8,3.5,1.8,0.7,0.485,0.38,0.88,13.6,0.264,0.7634730538922156,0.17365269461077845,0.10479041916167665,0.05389221556886228,0.020958083832335328,1.1167664670658686,2017
3,4,LeBron James,32,CLE,1.0,333.0,1010,0.33,74,37.8,26.4,8.6,8.7,1.2,0.6,0.548,0.363,0.674,12.9,0.221,0.6984126984126984,0.22751322751322753,0.23015873015873015,0.031746031746031744,0.015873015873015872,1.2037037037037037,2017
4,5,Isaiah Thomas,27,BOS,0.0,81.0,1010,0.08,76,33.8,28.9,2.7,5.9,0.9,0.2,0.463,0.379,0.909,12.5,0.234,0.8550295857988166,0.07988165680473373,0.1745562130177515,0.026627218934911247,0.00591715976331361,1.1420118343195267,2017
5,6,Stephen Curry,28,GSW,0.0,52.0,1010,0.051,79,33.4,25.3,4.5,6.6,1.8,0.2,0.468,0.411,0.898,12.6,0.229,0.7574850299401198,0.1347305389221557,0.19760479041916168,0.05389221556886228,0.005988023952095809,1.1497005988023952,2017
6,7T,Giannis Antetokounmpo,22,MIL,0.0,7.0,1010,0.007,80,35.6,22.9,8.8,5.4,1.6,1.9,0.521,0.272,0.77,12.4,0.21,0.6432584269662921,0.24719101123595508,0.15168539325842698,0.0449438202247191,0.05337078651685393,1.1404494382022472,2017
7,7T,John Wall,26,WAS,0.0,7.0,1010,0.007,78,36.4,23.1,4.2,10.7,2.0,0.6,0.451,0.327,0.801,8.8,0.149,0.6346153846153847,0.11538461538461539,0.29395604395604397,0.054945054945054944,0.016483516483516484,1.1153846153846154,2017
8,9T,Anthony Davis,23,NOP,0.0,2.0,1010,0.002,75,36.1,28.0,11.8,2.1,1.3,2.2,0.505,0.299,0.802,11.0,0.195,0.7756232686980609,0.3268698060941828,0.05817174515235457,0.036011080332409975,0.060941828254847646,1.257617728531856,2017
9,9T,Kevin Durant,28,GSW,0.0,2.0,1010,0.002,62,33.4,25.1,8.3,4.8,1.1,1.6,0.537,0.375,0.875,12.0,0.278,0.751497005988024,0.2485029940119761,0.1437125748502994,0.03293413173652695,0.04790419161676647,1.224550898203593,2017
10,11,DeMar DeRozan,27,TOR,0.0,1.0,1010,0.001,74,35.4,27.3,5.2,3.9,1.1,0.2,0.467,0.266,0.842,9.0,0.166,0.7711864406779662,0.14689265536723164,0.11016949152542373,0.03107344632768362,0.005649717514124295,1.0649717514124295,2017
