Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
1,James Harden,28,HOU,86.0,965.0,1010,0.955,72,35.4,30.4,5.4,8.8,1.8,0.7,0.449,0.367,0.858,15.4,0.289,0.8587570621468926,0.15254237288135594,0.24858757062146897,0.05084745762711865,0.019774011299435026,1.3305084745762714,2018
2,LeBron James,33,CLE,15.0,738.0,1010,0.731,82,36.9,27.5,8.6,9.1,1.4,0.9,0.542,0.367,0.731,14.0,0.221,0.7452574525745258,0.23306233062330622,0.24661246612466126,0.037940379403794036,0.024390243902439025,1.2872628726287263,2018
3,Anthony Davis,24,NOP,0.0,445.0,1010,0.441,75,36.4,28.1,11.1,2.3,1.5,2.6,0.534,0.34,0.828,13.7,0.241,0.771978021978022,0.30494505494505497,0.06318681318681318,0.04120879120879121,0.07142857142857144,1.252747252747253,2018
4,Damian Lillard,27,POR,0.0,207.0,1010,0.205,73,36.6,26.9,4.5,6.6,1.1,0.4,0.439,0.361,0.916,12.6,0.227,0.7349726775956283,0.12295081967213115,0.180327868852459,0.03005464480874317,0.01092896174863388,1.0792349726775954,2018
5,Russell Westbrook,29,OKC,0.0,76.0,1010,0.075,80,36.4,25.4,10.1,10.3,1.8,0.3,0.449,0.298,0.737,10.1,0.166,0.6978021978021978,0.2774725274725275,0.282967032967033,0.049450549450549455,0.008241758241758242,1.315934065934066,2018
6,Giannis Antetokounmpo,23,MIL,0.0,75.0,1010,0.074,75,36.7,26.9,10.0,4.8,1.5,1.4,0.529,0.307,0.76,11.9,0.207,0.7329700272479563,0.2724795640326975,0.1307901907356948,0.04087193460490463,0.03814713896457765,1.2152588555858308,2018
7,Kevin Durant,29,GSW,0.0,66.0,1010,0.065,68,34.2,26.4,6.8,5.4,0.7,1.8,0.516,0.419,0.889,10.4,0.215,0.7719298245614034,0.19883040935672514,0.15789473684210525,0.020467836257309937,0.05263157894736842,1.201754385964912,2018
8,DeMar DeRozan,28,TOR,0.0,32.0,1010,0.032,80,33.9,23.0,3.9,5.2,1.1,0.3,0.456,0.31,0.825,9.6,0.17,0.6784660766961652,0.11504424778761062,0.15339233038348082,0.03244837758112095,0.008849557522123894,0.9882005899705014,2018
9,LaMarcus Aldridge,32,SAS,0.0,6.0,1010,0.006,75,33.5,23.1,8.5,2.0,0.6,1.2,0.51,0.293,0.837,10.9,0.209,0.6895522388059702,0.2537313432835821,0.05970149253731343,0.01791044776119403,0.03582089552238806,1.0567164179104476,2018
10,Jimmy Butler,28,MIN,0.0,5.0,1010,0.005,59,36.7,22.2,5.3,4.9,2.0,0.4,0.474,0.35,0.854,8.9,0.198,0.6049046321525885,0.1444141689373297,0.1335149863760218,0.0544959128065395,0.010899182561307902,0.9482288828337875,2018
10,Stephen Curry,29,GSW,0.0,5.0,1010,0.005,51,32.0,26.4,5.1,6.1,1.6,0.2,0.495,0.423,0.921,9.1,0.267,0.825,0.159375,0.190625,0.05,0.00625,1.2312500000000002,2018
12,Joel Embiid,23,PHI,0.0,4.0,1010,0.004,63,30.3,22.9,11.0,3.2,0.6,1.8,0.483,0.308,0.769,6.2,0.155,0.7557755775577557,0.36303630363036304,0.10561056105610561,0.019801980198019802,0.0594059405940594,1.3036303630363035,2018
13,Victor Oladipo,25,IND,0.0,2.0,1010,0.002,75,34.0,23.1,5.2,4.3,2.4,0.8,0.477,0.371,0.799,8.2,0.155,0.6794117647058824,0.15294117647058825,0.1264705882352941,0.07058823529411765,0.023529411764705882,1.0529411764705883,2018
