,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Nikola Jokić,26,DEN,65.0,875.0,1000,0.875,74,33.5,27.1,13.8,7.9,1.5,0.9,0.583,0.337,0.81,15.2,0.296,0.808955223880597,0.4119402985074627,0.23582089552238808,0.04477611940298507,0.026865671641791045,1.528358208955224,2022
1,2,Joel Embiid,27,PHI,26.0,706.0,1000,0.706,68,33.8,30.6,11.7,4.2,1.1,1.5,0.499,0.371,0.814,12.0,0.252,0.9053254437869823,0.34615384615384615,0.12426035502958581,0.03254437869822486,0.044378698224852076,1.4526627218934913,2022
2,3,Giannis Antetokounmpo,27,MIL,9.0,595.0,1000,0.595,67,32.9,29.9,11.6,5.8,1.1,1.4,0.553,0.293,0.722,12.9,0.281,0.9088145896656535,0.3525835866261398,0.1762917933130699,0.033434650455927056,0.0425531914893617,1.5136778115501521,2022
3,4,Devin Booker,25,PHO,0.0,216.0,1000,0.216,68,34.5,26.8,5.0,4.8,1.1,0.4,0.466,0.383,0.868,7.6,0.156,0.7768115942028986,0.14492753623188406,0.1391304347826087,0.0318840579710145,0.011594202898550725,1.1043478260869566,2022
4,5,Luka Dončić,22,DAL,0.0,146.0,1000,0.146,65,35.4,28.4,9.1,8.7,1.2,0.6,0.457,0.353,0.744,7.6,0.159,0.8022598870056498,0.2570621468926554,0.24576271186440676,0.03389830508474576,0.01694915254237288,1.3559322033898304,2022
5,6,Jayson Tatum,23,BOS,0.0,43.0,1000,0.043,76,35.9,26.9,8.0,4.4,1.0,0.6,0.453,0.353,0.853,9.6,0.169,0.7493036211699164,0.22284122562674097,0.12256267409470753,0.02785515320334262,0.016713091922005572,1.139275766016713,2022
6,7,Ja Morant,22,MEM,0.0,10.0,1000,0.01,57,33.1,27.4,5.7,6.7,1.2,0.4,0.493,0.344,0.761,6.7,0.171,0.8277945619335346,0.17220543806646527,0.20241691842900303,0.036253776435045314,0.012084592145015106,1.2507552870090632,2022
7,8,Stephen Curry,33,GSW,0.0,4.0,1000,0.004,64,34.5,25.5,5.2,6.3,1.3,0.4,0.437,0.38,0.923,8.0,0.173,0.7391304347826086,0.15072463768115943,0.1826086956521739,0.03768115942028986,0.011594202898550725,1.1217391304347826,2022
8,9,Chris Paul,36,PHO,0.0,2.0,1000,0.002,65,32.9,14.7,4.4,10.8,1.9,0.3,0.493,0.317,0.837,9.4,0.21,0.44680851063829785,0.13373860182370823,0.32826747720364746,0.057750759878419454,0.00911854103343465,0.9756838905775077,2022
9,10,DeMar DeRozan,32,CHI,0.0,1.0,1000,0.001,76,36.1,27.9,5.2,4.9,0.9,0.3,0.504,0.352,0.877,8.8,0.154,0.7728531855955678,0.1440443213296399,0.13573407202216067,0.024930747922437674,0.008310249307479223,1.0858725761772852,2022
10,10,Kevin Durant,33,BRK,0.0,1.0,1000,0.001,55,37.2,29.9,7.4,6.4,0.9,0.9,0.518,0.383,0.91,8.4,0.198,0.803763440860215,0.1989247311827957,0.17204301075268816,0.024193548387096774,0.024193548387096774,1.2231182795698925,2022
11,10,LeBron James,37,LAL,0.0,1.0,1000,0.001,56,37.2,30.3,8.2,6.2,1.3,1.1,0.524,0.359,0.756,7.5,0.172,0.814516129032258,0.2204301075268817,0.16666666666666666,0.03494623655913978,0.02956989247311828,1.2661290322580645,2022
