,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Kobe Bryant,29,LAL,82.0,1100.0,1260,0.873,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,0.7275064267352186,0.16195372750642673,0.13881748071979436,0.04627249357326479,0.012853470437017995,1.0874035989717226,2008
1,2,Chris Paul,22,NOH,28.0,894.0,1260,0.71,80,37.6,21.1,4.0,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284,0.5611702127659575,0.10638297872340426,0.30851063829787234,0.07180851063829788,0.0026595744680851063,1.0505319148936172,2008
2,3,Kevin Garnett,31,BOS,15.0,670.0,1260,0.532,71,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0.0,0.801,12.9,0.265,0.5731707317073171,0.2804878048780488,0.10365853658536586,0.042682926829268296,0.03963414634146342,1.0396341463414633,2008
3,4,LeBron James,23,CLE,1.0,438.0,1260,0.348,75,40.4,30.0,7.9,7.2,1.8,1.1,0.484,0.315,0.712,15.2,0.242,0.7425742574257426,0.19554455445544555,0.17821782178217824,0.04455445544554456,0.02722772277227723,1.188118811881188,2008
4,5,Dwight Howard,22,ORL,0.0,60.0,1260,0.048,82,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0.0,0.59,12.9,0.2,0.5490716180371352,0.37665782493368694,0.034482758620689655,0.023872679045092837,0.055702917771883284,1.0397877984084878,2008
5,6,Amar'e Stoudemire,25,PHO,0.0,27.0,1260,0.021,79,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262,0.7433628318584071,0.26843657817109146,0.04424778761061947,0.023598820058997053,0.06194690265486726,1.1415929203539827,2008
6,7,Tim Duncan,31,SAS,0.0,25.0,1260,0.02,78,34.0,19.3,11.3,2.8,0.7,1.9,0.497,0.0,0.73,11.1,0.201,0.5676470588235294,0.33235294117647063,0.08235294117647059,0.020588235294117647,0.055882352941176466,1.0588235294117647,2008
7,8,Tracy McGrady,28,HOU,0.0,19.0,1260,0.015,66,37.0,21.6,5.1,5.9,1.0,0.5,0.419,0.292,0.684,5.8,0.115,0.5837837837837838,0.13783783783783782,0.15945945945945947,0.02702702702702703,0.013513513513513514,0.9216216216216216,2008
8,9,Steve Nash,33,PHO,0.0,18.0,1260,0.014,81,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,10.5,0.181,0.49271137026239065,0.10204081632653061,0.32361516034985427,0.020408163265306124,0.002915451895043732,0.9416909620991254,2008
9,10,Manu Ginóbili,30,SAS,0.0,9.0,1260,0.007,74,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232,0.6270096463022508,0.15434083601286172,0.14469453376205788,0.04823151125401929,0.012861736334405145,0.9871382636655948,2008
10,11,Dirk Nowitzki,29,DAL,0.0,5.0,1260,0.004,77,36.0,23.6,8.6,3.5,0.7,0.9,0.479,0.359,0.879,12.9,0.223,0.6555555555555556,0.23888888888888887,0.09722222222222222,0.019444444444444445,0.025,1.036111111111111,2008
11,12,Deron Williams,23,UTA,0.0,4.0,1260,0.003,82,37.3,18.8,3.0,10.5,1.1,0.3,0.507,0.395,0.803,11.3,0.177,0.5040214477211796,0.0804289544235925,0.28150134048257375,0.02949061662198392,0.00804289544235925,0.9034852546916892,2008
12,13,Carmelo Anthony,23,DEN,0.0,3.0,1260,0.002,77,36.4,25.7,7.4,3.4,1.3,0.5,0.492,0.354,0.786,8.2,0.14,0.7060439560439561,0.20329670329670332,0.09340659340659341,0.03571428571428572,0.013736263736263736,1.0521978021978022,2008
13,14,Carlos Boozer,26,UTA,0.0,1.0,1260,0.001,81,34.9,21.1,10.4,2.9,1.2,0.5,0.547,0.0,0.738,10.2,0.173,0.6045845272206304,0.2979942693409742,0.0830945558739255,0.034383954154727794,0.014326647564469915,1.0343839541547277,2008
14,14,Antawn Jamison,31,WAS,0.0,1.0,1260,0.001,79,38.7,21.4,10.2,1.5,1.3,0.4,0.436,0.339,0.76,9.2,0.144,0.5529715762273901,0.2635658914728682,0.03875968992248062,0.03359173126614987,0.0103359173126615,0.8992248062015503,2008
15,14,Paul Pierce,30,BOS,0.0,1.0,1260,0.001,80,35.9,19.6,5.1,4.5,1.3,0.5,0.464,0.392,0.843,12.4,0.207,0.5459610027855154,0.14206128133704735,0.12534818941504178,0.036211699164345405,0.01392757660167131,0.8635097493036212,2008
16,14,Rasheed Wallace,33,DET,0.0,1.0,1260,0.001,77,30.5,12.7,6.6,1.8,1.2,1.7,0.432,0.356,0.767,7.6,0.155,0.4163934426229508,0.21639344262295082,0.05901639344262295,0.039344262295081964,0.05573770491803279,0.7868852459016393,2008
