Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
1,Steve Nash,30,PHO,65.0,1066.0,1270,0.839,75,34.3,15.5,3.3,11.5,1.0,0.1,0.502,0.431,0.887,10.9,0.203,0.45189504373177847,0.09620991253644315,0.3352769679300292,0.02915451895043732,0.002915451895043732,0.9154518950437318,2005
2,Shaquille O'Neal,32,MIA,58.0,1032.0,1270,0.813,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,0.0,0.461,11.0,0.211,0.6715542521994134,0.30498533724340177,0.07917888563049853,0.014662756598240468,0.06744868035190615,1.1378299120234603,2005
3,Dirk Nowitzki,26,DAL,0.0,349.0,1270,0.275,78,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248,0.6744186046511628,0.2506459948320413,0.08010335917312661,0.031007751937984492,0.03875968992248062,1.074935400516796,2005
4,Tim Duncan,28,SAS,1.0,328.0,1270,0.258,66,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245,0.6077844311377246,0.3323353293413174,0.08083832335329343,0.020958083832335328,0.07784431137724551,1.1197604790419162,2005
5,Allen Iverson,29,PHI,2.0,240.0,1270,0.189,75,42.3,30.7,4.0,7.9,2.4,0.1,0.424,0.308,0.835,9.0,0.136,0.7257683215130024,0.09456264775413713,0.18676122931442082,0.05673758865248227,0.0023640661938534283,1.066193853427896,2005
6,LeBron James,20,CLE,0.0,93.0,1270,0.073,80,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203,0.6415094339622641,0.17452830188679247,0.169811320754717,0.0518867924528302,0.01650943396226415,1.054245283018868,2005
7,Tracy McGrady,25,HOU,0.0,44.0,1270,0.035,78,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12.0,0.18,0.6299019607843137,0.1519607843137255,0.13970588235294118,0.04166666666666667,0.01715686274509804,0.9803921568627452,2005
8,Dwyane Wade,23,MIA,0.0,43.0,1270,0.034,77,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11.0,0.177,0.6243523316062176,0.13471502590673576,0.17616580310880828,0.04145077720207254,0.02849740932642487,1.005181347150259,2005
9,Amar'e Stoudemire,22,PHO,1.0,41.0,1270,0.032,80,36.1,26.0,8.9,1.6,1.0,1.6,0.559,0.188,0.733,14.6,0.243,0.7202216066481995,0.24653739612188366,0.0443213296398892,0.027700831024930747,0.0443213296398892,1.0831024930747921,2005
9,Ray Allen,29,SEA,0.0,41.0,1270,0.032,78,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168,0.6081424936386769,0.11195928753180663,0.09414758269720103,0.027989821882951658,0.002544529262086514,0.8447837150127226,2005
11,Kevin Garnett,28,MIN,0.0,15.0,1270,0.012,82,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,16.1,0.248,0.5826771653543307,0.3543307086614173,0.14960629921259844,0.03937007874015748,0.03674540682414698,1.1627296587926508,2005
12,Gilbert Arenas,23,WAS,0.0,4.0,1270,0.003,80,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.814,11.5,0.169,0.6234718826405868,0.11491442542787286,0.12469437652811735,0.04156479217603912,0.007334963325183374,0.9119804400977995,2005
13,Vince Carter,28,TOT,0.0,3.0,1270,0.002,77,36.7,24.5,5.2,4.2,1.4,0.6,0.452,0.406,0.798,9.4,0.159,0.667574931880109,0.1416893732970027,0.11444141689373297,0.03814713896457765,0.01634877384196185,0.9782016348773842,2005
14,P.J. Brown,35,NOH,0.0,1.0,1270,0.001,82,34.4,10.8,9.0,2.2,0.9,0.6,0.446,0.0,0.864,6.9,0.118,0.3139534883720931,0.2616279069767442,0.06395348837209303,0.02616279069767442,0.01744186046511628,0.6831395348837211,2005
14,Marcus Camby,30,DEN,0.0,1.0,1270,0.001,66,30.5,10.3,10.0,2.3,0.9,3.0,0.465,0.0,0.723,5.8,0.138,0.3377049180327869,0.32786885245901637,0.07540983606557376,0.029508196721311476,0.09836065573770492,0.8688524590163933,2005
14,Shawn Marion,26,PHO,0.0,1.0,1270,0.001,81,38.8,19.4,11.3,1.9,2.0,1.5,0.476,0.334,0.833,12.5,0.191,0.5,0.2912371134020619,0.04896907216494845,0.051546391752577324,0.03865979381443299,0.9304123711340208,2005
