,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Kevin Durant,25,OKC,119.0,1232.0,1250,0.986,81,38.5,32.0,7.4,5.5,1.3,0.7,0.503,0.391,0.873,19.2,0.295,0.8311688311688312,0.19220779220779222,0.14285714285714285,0.03376623376623377,0.01818181818181818,1.218181818181818,2014
1,2,LeBron James,29,MIA,6.0,891.0,1250,0.713,77,37.7,27.1,6.9,6.3,1.6,0.3,0.567,0.379,0.75,15.9,0.264,0.7188328912466844,0.1830238726790451,0.16710875331564984,0.042440318302387266,0.007957559681697611,1.1193633952254642,2014
2,3,Blake Griffin,24,LAC,0.0,434.0,1250,0.347,80,35.8,24.1,9.5,3.9,1.2,0.6,0.528,0.273,0.715,12.2,0.205,0.6731843575418995,0.26536312849162014,0.10893854748603353,0.0335195530726257,0.01675977653631285,1.0977653631284918,2014
3,4,Joakim Noah,28,CHI,0.0,322.0,1250,0.258,80,35.3,12.6,11.3,5.4,1.2,1.5,0.475,0.0,0.737,11.2,0.19,0.3569405099150142,0.3201133144475921,0.15297450424929182,0.0339943342776204,0.042492917847025496,0.906515580736544,2014
4,5,James Harden,24,HOU,0.0,85.0,1250,0.068,73,38.0,25.4,4.7,6.1,1.6,0.4,0.456,0.366,0.866,12.8,0.221,0.6684210526315789,0.1236842105263158,0.16052631578947368,0.042105263157894736,0.010526315789473684,1.0052631578947369,2014
5,6,Stephen Curry,25,GSW,0.0,66.0,1250,0.053,78,36.5,24.0,4.3,8.5,1.6,0.2,0.471,0.424,0.885,13.4,0.225,0.6575342465753424,0.1178082191780822,0.2328767123287671,0.043835616438356165,0.005479452054794521,1.0575342465753423,2014
6,7,Chris Paul,28,LAC,0.0,45.0,1250,0.036,62,35.0,19.1,4.3,10.7,2.5,0.1,0.467,0.368,0.855,12.2,0.27,0.5457142857142857,0.12285714285714285,0.3057142857142857,0.07142857142857142,0.002857142857142857,1.0485714285714287,2014
7,8,Al Jefferson,29,CHA,0.0,34.0,1250,0.027,73,35.0,21.8,10.8,2.1,0.9,1.1,0.509,0.2,0.69,7.8,0.146,0.6228571428571429,0.3085714285714286,0.060000000000000005,0.025714285714285714,0.03142857142857143,1.0485714285714287,2014
8,9,Paul George,23,IND,0.0,33.0,1250,0.026,80,36.2,21.7,6.8,3.5,1.9,0.3,0.424,0.364,0.864,10.8,0.178,0.5994475138121547,0.1878453038674033,0.09668508287292817,0.05248618784530386,0.008287292817679558,0.9447513812154696,2014
9,10,LaMarcus Aldridge,28,POR,0.0,26.0,1250,0.021,69,36.2,23.2,11.1,2.6,0.9,1.0,0.458,0.2,0.822,7.5,0.144,0.6408839779005524,0.3066298342541436,0.0718232044198895,0.024861878453038673,0.027624309392265192,1.0718232044198894,2014
10,11,Kevin Love,25,MIN,0.0,25.0,1250,0.02,77,36.3,26.1,12.5,4.4,0.8,0.5,0.457,0.376,0.821,14.3,0.245,0.71900826446281,0.34435261707988984,0.12121212121212123,0.022038567493112952,0.013774104683195593,1.2203856749311297,2014
11,12T,Tim Duncan,37,SAS,0.0,21.0,1250,0.017,74,29.2,15.1,9.7,3.0,0.6,1.9,0.49,0.0,0.731,7.4,0.164,0.5171232876712328,0.3321917808219178,0.10273972602739727,0.02054794520547945,0.06506849315068493,1.0376712328767121,2014
12,12T,Tony Parker,31,SAS,0.0,21.0,1250,0.017,68,29.4,16.7,2.3,5.7,0.5,0.1,0.499,0.373,0.811,5.9,0.141,0.5680272108843537,0.0782312925170068,0.19387755102040818,0.017006802721088437,0.0034013605442176874,0.8605442176870748,2014
13,14,Dirk Nowitzki,35,DAL,0.0,7.0,1250,0.006,80,32.9,21.7,6.2,2.7,0.9,0.6,0.497,0.398,0.899,10.9,0.199,0.6595744680851063,0.18844984802431614,0.08206686930091187,0.02735562310030395,0.0182370820668693,0.9756838905775076,2014
14,15,Carmelo Anthony,29,NYK,0.0,4.0,1250,0.003,77,38.7,27.4,8.1,3.1,1.2,0.7,0.452,0.402,0.848,10.7,0.172,0.7080103359173125,0.20930232558139533,0.08010335917312661,0.031007751937984492,0.01808785529715762,1.0465116279069768,2014
15,16,Goran Dragić,27,PHO,0.0,3.0,1250,0.002,76,35.1,20.3,3.2,5.9,1.4,0.3,0.505,0.408,0.76,10.3,0.186,0.5783475783475783,0.09116809116809117,0.16809116809116809,0.03988603988603988,0.008547008547008546,0.886039886039886,2014
16,17,Mike Conley,26,MEM,0.0,1.0,1250,0.001,73,33.5,17.2,2.9,6.0,1.5,0.2,0.45,0.361,0.815,8.2,0.161,0.5134328358208955,0.08656716417910447,0.1791044776119403,0.04477611940298507,0.005970149253731343,0.8298507462686566,2014
