,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Steve Nash,31,PHO,57.0,924.0,1250,0.739,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212,0.5310734463276836,0.11864406779661017,0.2966101694915254,0.02259887005649718,0.005649717514124295,0.9745762711864406,2006
1,2,LeBron James,21,CLE,16.0,688.0,1250,0.55,79,42.5,31.4,7.0,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232,0.7388235294117647,0.16470588235294117,0.1552941176470588,0.037647058823529415,0.018823529411764708,1.1152941176470585,2006
2,3,Dirk Nowitzki,27,DAL,14.0,544.0,1250,0.435,81,38.1,26.6,9.0,2.8,0.7,1.0,0.48,0.406,0.901,17.7,0.275,0.6981627296587927,0.23622047244094488,0.07349081364829396,0.01837270341207349,0.026246719160104987,1.05249343832021,2006
3,4,Kobe Bryant,27,LAL,22.0,483.0,1250,0.386,80,41.0,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224,0.8634146341463415,0.12926829268292683,0.10975609756097561,0.04390243902439025,0.00975609756097561,1.15609756097561,2006
4,5,Chauncey Billups,29,DET,15.0,430.0,1250,0.344,81,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254,0.5124653739612188,0.08587257617728532,0.2382271468144044,0.024930747922437674,0.002770083102493075,0.8642659279778392,2006
5,6,Dwyane Wade,24,MIA,0.0,87.0,1250,0.07,75,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,14.4,0.239,0.7046632124352331,0.14766839378238342,0.17357512953367876,0.049222797927461134,0.02072538860103627,1.0958549222797926,2006
6,7,Elton Brand,26,LAC,1.0,50.0,1250,0.04,79,39.2,24.7,10.0,2.6,1.0,2.5,0.527,0.333,0.775,14.8,0.229,0.6301020408163265,0.25510204081632654,0.0663265306122449,0.02551020408163265,0.06377551020408163,1.040816326530612,2006
7,8,Tim Duncan,29,SAS,0.0,33.0,1250,0.026,80,34.8,18.6,11.0,3.2,0.9,2.0,0.484,0.4,0.629,10.8,0.187,0.5344827586206897,0.3160919540229885,0.09195402298850576,0.025862068965517244,0.0574712643678161,1.0258620689655173,2006
8,9,Tony Parker,23,SAS,0.0,9.0,1250,0.007,80,33.9,18.9,3.3,5.8,1.0,0.1,0.548,0.306,0.707,9.6,0.169,0.5575221238938053,0.09734513274336283,0.1710914454277286,0.029498525073746312,0.0029498525073746317,0.8584070796460177,2006
9,10,Allen Iverson,30,PHI,0.0,1.0,1250,0.001,72,43.1,33.0,3.2,7.4,1.9,0.1,0.447,0.323,0.814,10.6,0.165,0.765661252900232,0.07424593967517401,0.1716937354988399,0.04408352668213457,0.002320185614849188,1.0580046403712298,2006
10,10,Shawn Marion,27,PHO,0.0,1.0,1250,0.001,81,40.3,21.8,11.8,1.8,2.0,1.7,0.525,0.331,0.809,14.6,0.214,0.5409429280397023,0.2928039702233251,0.044665012406947896,0.04962779156327544,0.04218362282878412,0.9702233250620348,2006
