,Rank,Player,Age,Tm,First,Pts Won,Pts Max,Share,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,PTS/M,TRB/M,AST/M,STL/M,BLK/M,Stats/M,Year
0,1,Derrick Rose,22,CHI,113.0,1182.0,1210,0.977,81,37.4,25.0,4.1,7.7,1.0,0.6,0.445,0.332,0.858,13.1,0.208,0.6684491978609626,0.10962566844919786,0.2058823529411765,0.026737967914438502,0.016042780748663103,1.0267379679144386,2011
1,2,Dwight Howard,25,ORL,3.0,643.0,1210,0.531,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0.0,0.596,14.4,0.235,0.6090425531914893,0.375,0.03723404255319149,0.03723404255319149,0.06382978723404255,1.1223404255319147,2011
2,3,LeBron James,26,MIA,4.0,522.0,1210,0.431,79,38.8,26.7,7.5,7.0,1.6,0.6,0.51,0.33,0.759,15.6,0.244,0.6881443298969072,0.19329896907216496,0.18041237113402064,0.04123711340206186,0.015463917525773196,1.1185567010309279,2011
3,4,Kobe Bryant,32,LAL,1.0,428.0,1210,0.354,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178,0.7463126843657818,0.15044247787610618,0.13864306784660768,0.035398230088495575,0.0029498525073746317,1.0737463126843658,2011
4,5,Kevin Durant,22,OKC,0.0,190.0,1210,0.157,78,38.9,27.7,6.8,2.7,1.1,1.0,0.462,0.35,0.88,12.0,0.189,0.712082262210797,0.17480719794344474,0.06940874035989718,0.02827763496143959,0.02570694087403599,1.0102827763496145,2011
5,6,Dirk Nowitzki,32,DAL,0.0,113.0,1210,0.093,73,34.3,23.0,7.0,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213,0.6705539358600584,0.20408163265306123,0.07580174927113703,0.01457725947521866,0.01749271137026239,0.9825072886297378,2011
6,7,Dwyane Wade,29,MIA,0.0,24.0,1210,0.02,76,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218,0.6873315363881402,0.1725067385444744,0.12398921832884095,0.04043126684636118,0.029649595687331536,1.053908355795148,2011
7,8,Manu Ginóbili,33,SAS,0.0,20.0,1210,0.017,80,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195,0.5742574257425742,0.12211221122112212,0.16171617161716173,0.0495049504950495,0.013201320132013201,0.9207920792079208,2011
8,9,Amar'e Stoudemire,28,NYK,0.0,9.0,1210,0.007,78,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8.0,0.134,0.6875000000000001,0.22282608695652173,0.07065217391304349,0.024456521739130436,0.051630434782608696,1.0570652173913044,2011
9,10,Blake Griffin,21,LAC,0.0,5.0,1210,0.004,82,38.0,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,0.5921052631578947,0.31842105263157894,0.09999999999999999,0.021052631578947368,0.013157894736842105,1.0447368421052632,2011
10,10,Rajon Rondo,24,BOS,0.0,5.0,1210,0.004,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126,0.28494623655913975,0.11827956989247312,0.30107526881720426,0.061827956989247305,0.005376344086021505,0.7715053763440859,2011
11,12,Tony Parker,28,SAS,0.0,3.0,1210,0.002,78,32.4,17.5,3.1,6.6,1.2,0.0,0.519,0.357,0.769,8.2,0.156,0.5401234567901235,0.09567901234567902,0.2037037037037037,0.037037037037037035,0.0,0.8765432098765433,2011
12,13,Chris Paul,25,NOH,0.0,2.0,1210,0.002,80,36.0,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232,0.44166666666666665,0.11388888888888887,0.27222222222222225,0.06666666666666667,0.002777777777777778,0.8972222222222223,2011
